# -----------------------------------
# SAS_MoCa Version 1.5.0
# Tue Apr 28 14:05:19 2026
# -----------------------------------
convergence:
thermo:	1
maxcount:	100000
conv_threshold:	4
neg_water_scale:	5
statistics:
scale_MAD_to_std:	False
hist_mincount:	10
# -----------------------------------
datafile:	./POPE_50C_tmp_submission.dat
save-folder:	RES_POPE-example
qrange:	[0.005, 0.6]
model:	LUV_POPE
temperature-init:	400
target-X2:	5
data-binning:	1
error-scale:	1
iterations:	100
processes:	24
plot-only:	False
state:	0
# -----------------------------------
q	I_data	I_err	I_fit
0.00528205225	0.32389567	0.00397121053	0.35219262710127336
0.00590202479	0.21590771	0.00225059419	0.2278229038520804
0.00652199734	0.14502276	0.00172743091	0.14171575151333926
0.00714196989	0.093973952	0.0013789762	0.08748560897051813
0.00776194243	0.057386057	0.00108939514	0.05713658730606257
0.00838191498	0.040324829	0.000917569742	0.042721821945853014
0.00900188753	0.03393588	0.000796904004	0.03748324081218338
0.00962186007	0.033311501	0.000702399863	0.03641300971546699
0.0102418326	0.032167793	0.000625816959	0.03631882311890528
0.0108618052	0.034341932	0.000568572681	0.03555307771433984
0.0114817777	0.034205354	0.000512567019	0.033581237656525154
0.0121017503	0.0304624	0.000469069622	0.030534512134344407
0.0127217228	0.027047343	0.000446845667	0.026839776971021842
0.0133416954	0.023517897	0.000399611873	0.02296632731009811
0.0139616679	0.01941632	0.000375479369	0.019288004862709995
0.0145816404	0.014976275	0.000346840799	0.01603543460327532
0.015201613	0.011496715	0.000322325424	0.013305219717244162
0.0158215855	0.008943114	0.000306475267	0.011095987357949191
0.0164415581	0.006693248	0.000289121044	0.009349668029164466
0.0170615306	0.004863692	0.000270381487	0.007985834629497918
0.0176815032	0.0040502446	0.000262776704	0.006924597290501021
0.0183014757	0.0030881986	0.000251153511	0.006098515943941942
0.0189214483	0.0025003103	0.000236975575	0.005456330187106483
0.0195414208	0.0021231019	0.000231229167	0.004961804730505245
0.0201613934	0.0013812775	0.000224086427	0.004590424049924713
0.0207813659	0.0012978799	0.000215683893	0.004325753175360218
0.0214013385	0.0011872887	0.000209875242	0.004156399758792509
0.022021311	0.0006470343	0.000203186519	0.004073880031853403
0.0226412835	0.0010513639	0.000198877362	0.0040713194369475895
0.0232612561	0.0011251173	0.000195876146	0.004142768290116899
0.0238812286	0.0013740121	0.000190281104	0.004282895260258036
0.0245012012	0.0014113307	0.000185705421	0.0044868725996996895
0.0251211737	0.0016599978	0.000183086807	0.004750333515350889
0.0257411463	0.0022828233	0.000179018994	0.0050693414633130275
0.0263611188	0.0024790706	0.000176425896	0.005440348845580579
0.0269810914	0.0031108519	0.000175135676	0.005860146196897916
