# -----------------------------------
# SAS_MoCa Version 1.5.0
# Tue Apr 28 14:05:19 2026
# -----------------------------------
convergence:
thermo:	1
maxcount:	100000
conv_threshold:	4
neg_water_scale:	5
statistics:
scale_MAD_to_std:	False
hist_mincount:	10
# -----------------------------------
datafile:	./POPE_50C_tmp_submission.dat
save-folder:	RES_POPE-example
qrange:	[0.005, 0.6]
model:	LUV_POPE
temperature-init:	400
target-X2:	5
data-binning:	1
error-scale:	1
iterations:	100
processes:	24
plot-only:	False
state:	0
# -----------------------------------
# Probabilities of finding a quasimolecular group at a position z (Angstrom) (distance from the bilayer center).
# SLD column: SLD contrast (difference from suspension medium) as a function of z; unit Angstrom^-2.
# -----------------------------------
z	CH3	CH	CH2	CG	P	ENX	BW	SLD
0.0	0.5069813828323079	0.0003385634633042694	0.49268004569101825	1.3796149080154745e-12	1.0498086836178942e-12	8.266849756253123e-12	3.9959885439114125e-09	-3.0411391397796402e-06
0.10101127248665089	0.5066577392717478	0.0003822306935594485	0.49296002182009835	1.918586165307924e-12	1.3648443038129924e-12	1.0187141508671952e-11	5.009917133827002e-09	-3.039985321581403e-06
0.20202254497330177	0.5056880476957303	0.0004309687903193415	0.4938809746867511	2.662596443206454e-12	1.771974321459365e-12	1.2541797207793537e-11	6.272140414936873e-09	-3.0365960201038537e-06
0.30303381745995267	0.5040760175178479	0.0004852894785508887	0.4954386831252825	3.687482736239515e-12	2.2973813869891187e-12	1.5426320519503055e-11	7.841153969861165e-09	-3.03098362454721e-06
0.40404508994660354	0.501827804819984	0.000545746203055824	0.4976264375626366	5.096303142591874e-12	2.9744737046781854e-12	1.895658349737695e-11	9.788659236514406e-09	-3.0231689398850565e-06
0.5050563624332545	0.49895197318725176	0.000612936328540254	0.5004350769816274	7.028798929587862e-12	3.845816261486888e-12	2.3273029858737247e-11	1.2202406513778926e-08	-3.0131810497797395e-06
0.6060676349199053	0.4954594393661981	0.0006875033122398479	0.5038530410875701	9.674033692323859e-12	4.965560647964931e-12	2.8545715057255603e-11	1.5189617432007492e-08	-3.0010571271024774e-06
0.7070789074065562	0.49136340422883584	0.0007701388277087691	0.5078664372170637	1.3287236974667708e-11	6.402497409733824e-12	3.498034327892536e-11	1.8881098209046405e-08	-2.9868421937423706e-06
0.8080901798932071	0.4866792696534281	0.0008615848162043718	0.5124591214014592	1.8212198485699088e-11	8.24388441307083e-12	4.282549080530712e-11	2.3436174563347718e-08	-2.9705888318335997e-06
0.909101452379858	0.4814245420543705	0.0009626354399156988	0.5176127928782936	2.4910972266603992e-11	1.0600240973223552e-11	5.2381239609987026e-11	2.904860115384642e-08	-2.9523568489512337e-06
1.010112724866509	0.4756187234066456	0.0010741389091178926	0.5233071012329661	3.400318441478615e-11	1.3611341927992486e-11	6.400948541978836e-11	3.59536265520034e-08	-2.9322129002185127e-06
1.1111239973531597	0.46928319071392466	0.0011969991532157869	0.5295197652514207	4.6317926863720256e-11	1.7453700183810003e-11	7.814623174848549e-11	4.443642343732379e-08	-2.910230070628003e-06
1.2121352698398107	0.4624410649623763	0.0013321773036002826	0.5362267024736166	6.296210563281384e-11	2.234989260731262e-11	9.531623671118096e-11	5.484213055870339e-08	-2.8864874212017745e-06
1.3131465423264614	0.45511707068366114	0.001480692954314602	0.5434021683580258	8.541024818538855e-11	2.8580164985202393e-11	1.1615044403241569e-10	6.758779230092889e-08	-2.861069502898497e-06
1.4141578148131124	0.4473373873196199	0.0016436251647519125	0.5510189039001023	1.156222278449558e-10	3.649685011974001e-11	1.414067050403165e-10	8.317652925150187e-08	-2.834065842415148e-06
1.5151690872997632	0.4391294936372169	0.0018221131670196134	0.5590482904931343	1.5619721705238869e-10	4.654225253241407e-11	1.7199438627748749e-10	1.0221432478116366e-07	-2.805570404225832e-06
1.6161803597864142	0.4305220064848757	0.002017356739250535	0.5674605107786109	2.105745395058717e-10	5.927079795663604e-11	2.0900355958515162e-10	1.2542987532741842e-07	-2.775681033348298e-06
1.7171916322730651	0.42154451521019687	0.0022306162050595058	0.5762247142053895	2.8329508290204737e-10	7.53764208481077e-11	2.5373959033371204e-10	1.5369801761863897e-07	-2.744498883429157e-06
1.818202904759716	0.4122274130740515	0.0024632120185791567	0.5853091860026299	3.8034071870081886e-10	9.57263744943692e-11	3.077640773944404e-10	1.8806732792913366e-07	-2.712127834791134e-06
1.919214177246367	0.40260172699728763	0.0027165238941052605	0.5946815182705224	5.095739499172976e-10	1.2140290301340882e-10	3.729432583369268e-10	2.2979257269483916e-07	-2.6786739070901647e-06
2.020225449733018	0.3926989469640101	0.002991989439383264	0.6043087819050095	6.813060143701578e-10	1.537545209088262e-10	4.515051784521817e-10	2.80372791845685e-07	-2.644244671187552e-06
2.1212367222196686	0.3825508563800118	0.003291102252017237	0.6141576980975161	9.090292055083071e-10	1.9445901367661925e-10	5.461071362392799e-10	3.415959050561134e-07	-2.6089486647542172e-06
2.2222479947063194	0.37218936464701585	0.0036154094394212116	0.6241948081875424	1.2103585977811857e-09	2.4560071371627374e-10	6.59915165145897e-10	4.155908580595172e-07	-2.5728948159920673e-06
2.32325926719297	0.36164634316364797	0.003966508524200474	0.6343866406940997	1.6082401187742661e-09	3.09765132929166e-10	7.966975963629998e-10	5.048884622083141e-07	-2.536191879684254e-06
2.4242705396796214	0.3509534659033404	0.004346043698882395	0.6446998744104816	2.132496529714222e-09	3.901546625934455e-10	9.609350756998156e-10	6.124922358589054e-07	-2.49894788957444e-06
2.525281812166272	0.34014205564864547	0.0047557013965445274	0.6551014965147729	2.821801004124225e-09	4.907298006862396e-10	1.1579497850501006e-09	7.419607264761068e-07	-2.4612696308283866e-06
2.626293084652923	0.32924293688175926	0.005197205147139595	0.6655589547247072	3.726190407193843e-09	6.163812580527964e-10	1.3940570525077032e-09	8.975029791123654e-07	-2.4232621360529514e-06
2.727304357139574	0.31828629624359506	0.00567230969321251	0.676040302608823	4.910258005958755e-09	7.731393523644729e-10	1.6767430324440426e-09	1.084089021436695e-06	-2.3850282080418175e-06
2.828315629626225	0.3073015513796841	0.00618279434325957	0.686514337255103	6.457199293539526e-09	9.684283511900687e-10	2.014872706398533e-09	1.3075774623919551e-06	-2.346667972088171e-06
2.9293269021128756	0.29631722889181705	0.006730455546199601	0.6969507285921543	8.47392621098878e-09	1.2113749056373434e-09	2.4189331070584614e-09	1.5748625412671765e-06	-2.3082784603564634e-06
