# -----------------------------------
# SAS_MoCa Version 1.5.0
# Tue Apr 28 14:03:55 2026
# -----------------------------------
convergence:
thermo:	1
maxcount:	100000
conv_threshold:	4
neg_water_scale:	5
statistics:
scale_MAD_to_std:	False
hist_mincount:	10
# -----------------------------------
datafile:	./POPC_50C_Symmetry2021.dat
save-folder:	RES_POPC-example
qrange:	[0.005, 0.6]
model:	LUV_POPC
temperature-init:	500
target-X2:	1
data-binning:	1
error-scale:	1
iterations:	100
processes:	24
plot-only:	False
state:	0
# -----------------------------------
# Collection of the result parameters (medians only) for each iteration.
# -----------------------------------
	Norm	nv	Rv	Z	d_Chol	s_Chol	d_PCN	s_PCN	d_CG	s_CG	dD_C	r_D_C	s_CH2	d_CH	s_CH	s_CH3	r_PCN	r_CG	r12	r32	T	V_H	V_BW	Con	X2
0	1e-07	0.8180240885533261	462.1646945987389	10.018952795518688	4.2504402666381935	2.9763081067756865	4.347338756963105	2.1879025254596516	0.8843242723088646	2.129077441889291	27.744909363432456	0.08023118430623376	2.3520794272786456	9.0	3.05	3.3074381278584397	0.30558951111531024	0.44740167499173233	0.8	2.0734639815002627	50.0	312.7618905745052	30.391253647626716	0.0005320364380328575	3.3767178159290157
1	1e-07	1.2340331258789776	388.6779483189833	8.614956814876402	4.635759624258181	2.9183285973038684	4.378795919458442	2.759518524013867	0.8356004210637138	2.1923050393719032	27.646181079414294	0.08006646023978455	2.5535659578237877	9.0	3.05	3.530711751885983	0.25082719474858517	0.4747057707885902	0.8	2.0192991960293685	50.0	319.17677140568867	30.25874787345044	0.0005213074639765675	3.588535746615124
2	1e-07	1.3461616787109514	406.7155413775528	10.891224687943115	4.25933595475446	3.0121453618874874	4.59793933429663	2.984158300801576	0.8242508360949125	2.6968417624582677	27.96304097437794	0.07007260528338596	2.534060298391336	9.0	3.05	3.4933924467472277	0.3140822439047164	0.41167908195327774	0.8	1.7898584528115469	50.0	327.35716326330527	30.491742406957403	0.0005802930340119701	3.773420069891345
3	1e-07	1.0412391285304963	414.87339818172194	6.124735131565375	4.141730280609275	2.896580466424787	4.127973401229652	2.879705105424908	0.7916471148117807	2.3662397184076434	28.65019718945136	0.07130534843196315	2.4815802929029576	9.0	3.05	3.444045718975378	0.3013169770892926	0.4239554076418318	0.8	1.9473803426762033	50.0	318.2591632295426	30.455542341712057	0.00051383108060713	3.430736499855457
4	1e-07	1.0415656313820176	433.96601546064574	8.930562568586627	4.042062494184219	2.850659724106016	3.9326887244246342	2.5409759747018885	0.7660531856141511	2.382669665627803	28.501990196354637	0.07677649587978552	2.7367680397823406	9.0	3.05	3.502329401159902	0.31616495444190745	0.43616346062955913	0.8	1.916428692649109	50.0	324.33096412185597	30.440183292276263	0.0004883516555452399	3.373810415296543
5	1e-07	0.9095956367618016	459.832062942559	9.77415380720279	4.250693194516543	3.155523276004458	4.299898498677042	3.27643096862397	0.8831886791365411	2.091091358077898	28.923156457192675	0.07309147124181632	2.5585632715241258	9.0	3.05	3.0484138308202198	0.2967940917867306	0.40152806740537916	0.8	1.8265757099121418	50.0	319.68729129041674	30.459087242039615	0.0005219584794569458	3.5967294883290357
6	1e-07	0.7294703842959291	466.7950687926095	5.871912356931989	4.267391930832989	2.9616169065208258	3.6702230311384563	2.8486805827324857	0.754073823742365	1.7934258831046437	29.361516756763564	0.07158366084807719	2.6643623121372264	9.0	3.05	3.625865376169203	0.32745494239622897	0.41314074107340265	0.8	2.0319040338310215	50.0	309.4084796669126	30.505221584720015	0.0004992699078858739	3.3255255346956107
7	1e-07	1.0274277032935961	423.5809313678772	11.07769125390029	4.056399729993484	3.0478693554207754	4.424003075826885	2.955865248759622	0.8625534768693179	1.6017925031769127	28.905539752612594	0.07522661782261018	2.426261586522489	9.0	3.05	3.430803373759517	0.3130093978248391	0.4009929431643967	0.8	1.9742987376253947	50.0	320.298007911809	30.477043399807044	0.0005031134694519786	3.5543516525418584
8	1e-07	0.8856788567621224	476.0734620554502	9.843409221314037	4.402901662727378	2.7866807800974303	4.3512091891783395	2.697163762532022	0.6960317389391771	2.356696582007422	28.245528851087748	0.07799636014430132	2.462053898779705	9.0	3.05	3.4457868902765405	0.2885740459241871	0.44614835438411415	0.8	1.9491131064085185	50.0	327.6412117866999	30.353482366257346	0.0005401172376737677	3.5461930676311404
9	1e-07	1.1160163839842245	433.8541955873222	11.544992538613782	4.368215495191683	3.012313699315033	4.4766260947773375	2.6317697078247853	0.785220465012857	2.419220007010889	27.83074658805533	0.07996582917012279	2.6259895102052053	9.0	3.05	3.426138141494811	0.2990224328944729	0.4381196438838541	0.8	1.8723536421437328	50.0	325.65603151611595	30.37580692024765	0.0005261528501685536	3.7456957540990086
10	1e-07	0.8256433829780193	441.56947195425204	6.489544321802486	4.091001864836193	3.022178851623967	3.9142792967337425	2.8147883867842993	0.7788938985797185	1.9386431934014636	29.115128284645134	0.0712713864658347	2.6439687515715735	9.0	3.05	3.604473047116706	0.2880396368120623	0.4321636225020025	0.8	2.0947525366744877	50.0	311.2116885387987	30.476554602903754	0.0005049549645222964	3.36279710419966
11	1e-07	0.9808347706186981	458.8199262234576	9.955938209273226	4.400913933516794	3.001867999631066	4.935477347969827	2.067073221017224	0.8366254276633639	2.095073397555949	27.02646595202854	0.07760529820841222	2.3907348140475726	9.0	3.05	3.0541550925570817	0.30799399457367366	0.446784413093601	0.8	1.90014485038922	50.0	326.33202713859623	30.407801518730714	0.0005209663539356491	3.4431622189033244
