# -----------------------------------
# SAS_MoCa Version 1.5.0
# Tue Apr 28 14:03:55 2026
# -----------------------------------
convergence:
thermo:	1
maxcount:	100000
conv_threshold:	4
neg_water_scale:	5
statistics:
scale_MAD_to_std:	False
hist_mincount:	10
# -----------------------------------
datafile:	./POPC_50C_Symmetry2021.dat
save-folder:	RES_POPC-example
qrange:	[0.005, 0.6]
model:	LUV_POPC
temperature-init:	500
target-X2:	1
data-binning:	1
error-scale:	1
iterations:	100
processes:	24
plot-only:	False
state:	0
# -----------------------------------
q	I_data	I_err	I_fit
0.00527718027	0.07412517	0.00584518858	0.06891921386297255
0.00589509545	0.06593432	0.00420839574	0.052625042871048786
0.00651301063	0.054607518	0.00311882321	0.04563030371792692
0.00713092581	0.044579941	0.00248766191	0.04180498839807917
0.00774884099	0.041338273	0.00209743883	0.038540766194534185
0.00836675617	0.035502104	0.00179729521	0.0351376584077452
0.00898467136	0.032234558	0.00157975677	0.03166584513504483
0.00960258654	0.028824129	0.00140850022	0.028363639785086926
0.0102205017	0.02510555	0.00126127097	0.02540601535268415
0.0108384169	0.022081056	0.00114822398	0.02286284193732499
0.0114563321	0.021635813	0.00105140325	0.020726502872645727
0.0120742473	0.019333966	0.000974836486	0.018949729335528517
0.0126921624	0.019210849	0.000919704493	0.017473181151068017
0.0133100776	0.019355749	0.0008521424	0.016240437805472612
0.0139279928	0.01530076	0.000799411188	0.015203970935016764
0.014545908	0.015179024	0.0007679398	0.014326113870599885
0.0151638232	0.014015798	0.000728734631	0.01357785376123205
0.0157817384	0.013264628	0.000686765101	0.01293701520865076
0.0163996535	0.011882358	0.000660169688	0.012386548015151305
0.0170175687	0.012013634	0.000634414433	0.011913154962922995
0.0176354839	0.011273706	0.000610201153	0.011506277287854234
0.0182533991	0.0107256563	0.000593958922	0.011157373066606635
0.0188713143	0.0108489906	0.000571407463	0.01085941315172882
0.0194892294	0.0107653154	0.000552233546	0.01060652849934163
0.0201071446	0.010491994	0.000540839764	0.010393759915602341
0.0207250598	0.0097666428	0.000523334703	0.010216877035675413
0.021342975	0.0095689848	0.000507055535	0.01007224328917453
0.0219608902	0.0100866533	0.000499539007	0.009956712887316201
0.0225788054	0.009799173	0.00048603676	0.009867550124539205
0.0231967205	0.0087142186	0.000472217415	0.00980236487988774
0.0238146357	0.0089831974	0.000466539145	0.009759060157552086
0.0244325509	0.0092322232	0.000453558042	0.009735789005816588
0.0250504661	0.0084650055	0.000445645524	0.009730918618994633
0.0256683813	0.0090555135	0.00044179948	0.009743000336771734
0.0262862964	0.0087276986	0.00043004622	0.009770744369387822
0.0269042116	0.0091371845	0.00042165258	0.009812998444593749
0.0275221268	0.0090067334	0.000415982301	0.009868729631403846
0.028140042	0.0089973029	0.000408464981	0.00993700889198855
0.0287579572	0.0091996778	0.000402372668	0.010016997861472518
0.0293758723	0.0090798534	0.000397328399	0.010107937502714777
0.0299937875	0.008527114	0.000389913989	0.010209138427933527
0.0306117027	0.0099720836	0.00038578179	0.010319972415875761
0.0312296179	0.009469339	0.000382959439	0.010439865214660645
0.0318475331	0.0092793486	0.000376738144	0.010568290242610875
0.0324654483	0.0105944887	0.000372245518	0.01070476312892029
0.0330833634	0.0093981323	0.000368131393	0.010848836936282495
0.0337012786	0.0101768865	0.000367542322	0.011000098106708588
0.0343191938	0.0100320155	0.000373889251	0.011158162692334007
0.034937109	0.0110014803	0.00037598661	0.011322673265688735
0.0355550242	0.0109408056	0.00037381622	0.01149329610132619
0.0361729393	0.0111609091	0.000374627726	0.01166971868536105
0.0367908545	0.0112447124	0.000373974185	0.011851647659067308
0.0374087697	0.01167228	0.000372738796	0.012038806728020528
0.0380266849	0.01128938	0.000371958936	0.012230935075622605
0.0386446001	0.012361831	0.000369783048	0.0124277858270919
0.0392625153	0.0119165092	0.000368799502	0.012629124709506709
0.0398804304	0.0124843342	0.00036760609	0.012834728825582372
0.0404983456	0.0125322496	0.000366464985	0.013044385724365191
0.0411162608	0.0130657588	0.000363231728	0.013257892252522864
0.041734176	0.0132840358	0.000357075275	0.013475053838456626
0.0423520912	0.0131265128	0.000349844271	0.013695683700055744
0.0429700063	0.0136417762	0.000342358339	0.013919602127752862
0.0435879215	0.0137705485	0.000338851009	0.014146636019543662
0.0442058367	0.0142505936	0.000335579255	0.014376618115263825
0.0448237519	0.0143922852	0.000330749341	0.014609386648184182
0.0454416671	0.0147260629	0.000328266731	0.014844784865587728
0.0460595823	0.0146401974	0.000325260661	0.015082660629462128
0.0466774974	0.0153849079	0.000320762225	0.015322866017628502
0.0472954126	0.0152105586	0.000319125675	0.015565257155183058
0.0479133278	0.0163327504	0.000317208306	0.015809693688537574
0.048531243	0.0162903703	0.000313763833	0.016056038676408264
0.0491491582	0.016613318	0.000311902332	0.01630415831263799
0.0497670733	0.0173857237	0.000309178171	0.0165539216702839
0.0503849885	0.0177067693	0.000306449706	0.016805200669058256
0.0510029037	0.0175712469	0.0003053302	0.01705786965710038
0.0516208189	0.0182840204	0.000303744181	0.017311805413769376
0.0522387341	0.0183211046	0.000300915347	0.017566886966118023
0.0528566493	0.0184005203	0.000299715733	0.017822995459620364
0.0534745644	0.0191411493	0.000298393272	0.018080013999900904
0.0547103948	0.0193321153	0.000295478571	0.018596323406853466
0.0559462252	0.0202758963	0.000292578145	0.019114916619438108
0.0571820555	0.0204974562	0.000300827365	0.019634921377633736
0.0584178859	0.0209465967	0.000302915042	0.020155489763007572
0.0596537162	0.0218574469	0.000304903616	0.020675796232489566
0.0608895466	0.0222633387	0.000306833138	0.021195036634283362
0.062125377	0.0229399704	0.000305585765	0.021712426884905225
0.0633612073	0.0235896709	0.000305770712	0.022227202312112983
0.0645970377	0.0235083083	0.000298443807	0.02273861719900478
0.0658328681	0.0238701608	0.000291264145	0.023245944123909505
0.0670686984	0.024824942	0.000286032886	0.023748473818454276
0.0683045288	0.0253194933	0.000282895961	0.024245515137426964
0.0695403592	0.0254104504	0.000280157235	0.02473639476148762
0.0707761895	0.0264152006	0.000277194007	0.025220457348290225
0.0720120199	0.0263289078	0.000273525337	0.02569706573996901
0.0732478502	0.026706866	0.000271816504	0.02616560083535075
0.0744836806	0.0272316424	0.000269685168	0.026625462084861686
0.075719511	0.0279879396	0.000266736234	0.027076067442459092
0.0769553413	0.0280890197	0.000265749905	0.02751685372582977
0.0781911717	0.0283959273	0.00026356904	0.027947276980186883
0.0794270021	0.0289612592	0.000266742647	0.028366812535263256
0.0806628324	0.0292332713	0.000271751518	0.0287749553928499
0.0818986628	0.0295727807	0.000126203021	0.029171220599285803
0.0831344932	0.0299468525	0.000123833858	0.029555143321294
0.0843703235	0.030330765	0.000122096104	0.02992627921665812
0.0856061539	0.030785941	0.000121174878	0.030284204776814823
0.0868419842	0.0310712485	0.000119680157	0.030628517363405952
0.0880778146	0.031464663	0.000118163737	0.030958835668576146
0.089313645	0.0317781276	0.000117621407	0.03127479972848216
0.0905494753	0.0321163196	0.000117081423	0.031576071204034634
0.0917853057	0.0324489515	0.000116213022	0.031862333619779824
0.0930211361	0.0326469128	0.000115788994	0.03213329236619835
0.0942569664	0.033195414	0.000115136201	0.03238867490344173
0.0954927968	0.0333959262	0.000114095095	0.032628230918186986
0.0967286271	0.0335504805	0.000113883784	0.03285173225715107
0.0979644575	0.0341676677	0.000113054431	0.03305897313086
0.0992002879	0.0340428636	0.00011154837	0.033249770005835406
0.100436118	0.0340672128	0.000110669672	0.03342396163280568
0.101671949	0.0340499405	0.000110351818	0.03358140923270068
0.102907779	0.0345071189	0.000109823515	0.033721995841979366
0.104143609	0.0346361119	0.000109298256	0.033845626995470855
0.10537944	0.0346573977	0.000108918524	0.03395223018089719
0.10661527	0.0346074894	0.000107969359	0.03404175449762755
0.1078511	0.0344771641	0.000107296861	0.03411417100240501
0.109704846	0.0347018416	7.82198265e-05	0.034190707961823046
0.111558592	0.0347988654	7.76128259e-05	0.03422880429895027
0.113412337	0.0347263493	7.79273066e-05	0.03422862966573269
0.115266083	0.0346675773	7.84819452e-05	0.03419045708748468
0.117119828	0.034651159	7.87599549e-05	0.03411466045461014
0.118973574	0.0346051187	7.89896077e-05	0.034001711520895816
0.120827319	0.0343701637	7.89365883e-05	0.03385217712551072
0.122681065	0.0341734473	7.88770972e-05	0.033666715350101926
0.12453481	0.0339575658	7.87583158e-05	0.033446072566705114
0.126388556	0.0336181052	7.86733181e-05	0.033191078819642485
0.128242301	0.0333067266	7.85803606e-05	0.0329026447480636
0.130096047	0.0330136534	7.85728721e-05	0.03258175626884178
0.131949793	0.0326290087	7.96991735e-05	0.03222947122745848
0.133803538	0.0323332042	8.11847817e-05	0.03184691445791461
0.135657284	0.0318656179	8.16820357e-05	0.03143527239979033
0.137511029	0.0315112662	8.17991473e-05	0.030995789774464853
0.139364775	0.0310053045	8.08793344e-05	0.030529762903586825
0.14121852	0.0305338214	7.95175581e-05	0.030038536612318218
0.143072266	0.0300798765	7.88196891e-05	0.029523497168484212
0.144926011	0.0293488951	7.80848595e-05	0.028986069302010347
0.146779757	0.0287517976	7.77192755e-05	0.02842770886373255
0.148633502	0.0281770332	7.78727212e-05	0.027849900012595363
0.150487248	0.0276773494	7.78389849e-05	0.027254147693328484
0.152340993	0.0270944042	7.76954462e-05	0.02664197503998122
0.154194739	0.0265959274	7.86324416e-05	0.026014915770289852
0.156048485	0.0257683903	8.02413918e-05	0.025374511501489262
0.15790223	0.0251903415	8.1307849e-05	0.02472230590024036
0.159755976	0.0245479927	8.21332107e-05	0.024059838800696284
0.161609721	0.0239102553	8.20712004e-05	0.02338864399993749
0.164081382	0.0229112405	6.60879549e-05	0.02248276698909089
0.166553043	0.0220665817	6.4819048e-05	0.021567633803644237
0.169024703	0.0212496744	6.41053747e-05	0.020646733312799825
0.171496364	0.0203109877	6.34600154e-05	0.019723466763689176
0.173968025	0.0194560952	6.28636792e-05	0.018801134202150994
0.176439686	0.0184465065	6.22633301e-05	0.01788291827890439
0.178911346	0.0174690403	6.17570906e-05	0.016971871458872682
0.181383007	0.0165228036	6.14344335e-05	0.016070902248242112
0.183854668	0.0156468164	6.10585772e-05	0.015182766376961232
0.186326328	0.0147650188	6.05610004e-05	0.01431005594188911
0.188797989	0.0139778281	6.01823309e-05	0.013455189968717803
0.19126965	0.0132413407	5.9807503e-05	0.012620409468242619
0.193741311	0.0123800546	5.9396093e-05	0.011807770294226928
0.196212971	0.011592708	5.90523339e-05	0.011019139426270846
0.198684632	0.0107008977	5.86947664e-05	0.010256190634924377
0.201156293	0.0099576253	5.82128021e-05	0.009520404623668936
0.203627954	0.00923776034	5.78412505e-05	0.008813067230702038
0.206099614	0.00853510029	5.75067854e-05	0.00813527073121485
0.208571275	0.00784924417	5.70976272e-05	0.007487914636153095
0.211042936	0.00719754697	5.68298009e-05	0.0068717103408873405
0.213514596	0.00653650421	5.64005586e-05	0.006287184307022789
0.216604172	0.00584966534	4.8498493e-05	0.005601584819109702
0.219693748	0.00523086668	4.8121803e-05	0.004966307174830993
0.222783324	0.00453437726	4.77751297e-05	0.004381244624515793
0.2258729	0.00396683513	4.74583629e-05	0.0038459112003018337
0.228962476	0.00346930499	4.72110567e-05	0.0033594681236222934
0.232052052	0.00300689311	4.70104201e-05	0.002920752274681676
0.235141628	0.00259694206	4.6725865e-05	0.002528306319550226
0.238231204	0.00212776683	4.64941215e-05	0.0021804100908349817
0.24132078	0.00181342413	4.62932658e-05	0.0018751128229736824
