# -----------------------------------
# SAS_MoCa Version 1.5.0
# Tue Apr 28 14:03:55 2026
# -----------------------------------
convergence:
thermo:	1
maxcount:	100000
conv_threshold:	4
neg_water_scale:	5
statistics:
scale_MAD_to_std:	False
hist_mincount:	10
# -----------------------------------
datafile:	./POPC_50C_Symmetry2021.dat
save-folder:	RES_POPC-example
qrange:	[0.005, 0.6]
model:	LUV_POPC
temperature-init:	500
target-X2:	1
data-binning:	1
error-scale:	1
iterations:	100
processes:	24
plot-only:	False
state:	0
# -----------------------------------
# Probabilities of finding a quasimolecular group at a position z (Angstrom) (distance from the bilayer center).
# SLD column: SLD contrast (difference from suspension medium) as a function of z; unit Angstrom^-2.
# -----------------------------------
z	CH3	CH	CH2	CG	PCN	Chol	BW	SLD
0.0	0.3817079780254579	0.001135146255258776	0.6171568609780637	1.5843341345225848e-11	1.1186252000887372e-12	7.402535706224942e-15	7.353640475600276e-09	-2.6400792892622195e-06
0.10111265910417339	0.3815372124343238	0.0012511168695648162	0.6172116555516473	2.1893279310922546e-11	1.4707688688994618e-12	9.643898297616716e-15	9.309534809502185e-09	-2.639435068265012e-06
0.20222531820834677	0.3810253738990394	0.00137742079256627	0.6175971889347933	3.018689833131428e-11	1.930969945508992e-12	1.2549547966184125e-14	1.1766548560445016e-08	-2.6376683071601185e-06
0.30333797731252016	0.3801738350851501	0.0015148097240366024	0.6183113367031736	4.1530752682242755e-11	2.5314995543172176e-12	1.6311988032588207e-14	1.484791357521844e-08	-2.634782935067459e-06
0.40445063641669354	0.37898487695202515	0.0016640724457728099	0.6193510290145887	5.7011799338997204e-11	3.3139919698287762e-12	2.117820050453025e-14	1.8705816153953247e-08	-2.6307858224993745e-06
0.5055632955208669	0.3774616785728166	0.0018260348841417167	0.6207122607223388	7.809142169354985e-11	4.3320783602853185e-12	2.746468152612051e-14	2.3527859797299095e-08	-2.6256867480326132e-06
0.6066759546250403	0.37560830297157033	0.0020015599649698787	0.6223901056772625	1.0672976341430211e-10	5.654737004324402e-12	3.557651713869753e-14	2.9544885922972578e-08	-2.619498352112912e-06
0.7077886137292138	0.3734296790657968	0.00219154724132932	0.6243787351493826	1.4554972853289123e-10	7.370547919810673e-12	4.603155451588006e-14	3.704042072888624e-08	-2.612236078294946e-06
0.8089012728333871	0.37093157982682134	0.002396932274696976	0.6266714402761043	1.9805275524345892e-10	9.593087208422002e-12	5.949099106775413e-14	4.636206098756001e-08	-2.6039181022988684e-06
0.9100139319375604	0.3681205967933458	0.0026186857500635624	0.6292606584206254	2.689019880465012e-10	1.2467755200387222e-11	7.679803650487355e-14	5.793516893150028e-08	-2.594565249340036e-06
1.0111265910417337	0.3650041110956913	0.0028578123058534233	0.63213800330182	3.642929556302759e-10	1.6180405297244345e-11	9.902671657520613e-14	7.227930922378136e-08	-2.5842009002602e-06
1.1122392501459073	0.3615902611689709	0.0031153490600058084	0.6352942987355017	4.924375584100618e-10	2.0968230438409992e-11	1.2754340070736034e-13	9.002793482398636e-08	-2.5728508870558667e-06
1.2133519092500806	0.3578879073528189	0.0033923638142738448	0.6387196158067849	6.641943869491177e-10	2.7133475221070494e-11	1.6408427245137832e-13	1.119519144338435e-07	-2.560543378462174e-06
1.314464568354254	0.35390659359312093	0.0036899529197333665	0.6424033132744063	8.938875090270758e-10	3.5060678558348326e-11	2.1085274983001572e-13	1.3898758881407197e-07	-2.547308756308009e-06
1.4155772274584275	0.3496565064773279	0.004009238787670949	0.6463340809904197	1.2003673437413995e-09	4.523832001797197e-11	2.7064183721509085e-13	1.7227015490436715e-07	-2.53317948340972e-06
1.5166898865626008	0.34514843184926713	0.0043513670314488774	0.6504999861027759	1.6083816545381208e-09	5.828594945514236e-11	3.4698759345872473e-13	2.131733022784374e-07	-2.5181899638163246e-06
1.6178025456667742	0.3403937092618109	0.004717503226632154	0.654888521794007	2.1503427328806567e-09	7.498813243440358e-11	4.443613842805183e-13	2.6335616665616483e-07	-2.502376396258247e-06
1.7189152047709475	0.3354041845362214	0.005108829278614055	0.6594866582966293	2.8685993524286726e-09	9.63368530636985e-11	5.684104129967684e-13	3.2481882611775494e-07	-2.4857766216839967e-06
1.8200278638751208	0.33019216070542345	0.005526539389195836	0.6642808959150319	3.8183500686461455e-09	1.235843930213546e-10	7.262582686277393e-13	3.9996774395830657e-07	-2.468429965794734e-06
1.9211405229792944	0.32477034762480445	0.00597183561606228	0.6692573197745331	5.071369147755265e-09	1.5830916482240525e-10	9.268799863979411e-13	4.916927619289183e-07	-2.4503770775050854e-06
2.0222531820834675	0.3191518105383912	0.00644592302184543	0.6744016560110289	6.72075930412683e-09	2.0249753552879811e-10	1.181569494166071e-12	6.034574704407276e-07	-2.4316597642698928e-06
2.123365841187641	0.31334991789039457	0.006950004412477902	0.6796993291092022	8.886998265507075e-09	2.586453541226608e-10	1.504521454100415e-12	7.394050268261924e-07	-2.412320825220695e-06
2.2244785002918146	0.30737828867216876	0.007485274667794361	0.6851355200936144	1.1725611063378675e-08	3.2988371532237463e-10	1.913554564435732e-12	9.044817635580075e-07	-2.3924038830527993e-06
2.3255911593959877	0.30125073959262444	0.008052914670832646	0.6906952252751354	1.5436879339423452e-08	4.201344827711624e-10	2.4310095570707773e-12	1.1045812244681975e-06	-2.3719532155937634e-06
2.4267038185001613	0.29498123235612267	0.008654084845996854	0.6963633152550559	2.0278095790068978e-08	5.343022883850227e-10	3.084862648331906e-12	1.3467115850891252e-06	-2.351013587967292e-06
2.527816477604335	0.2885838213259283	0.009289918320152897	0.7021245938907917	2.6578989567585597e-08	6.785111612250406e-10	3.910104354803073e-12	1.6391897639978308e-06	-2.3296300862430275e-06
2.628929136708508	0.2820726018434887	0.009961513724807986	0.7079638569303158	3.476109102097749e-08	8.603956644053928e-10	4.950444712084495e-12	1.99186589855768e-06	-2.3078479534328922e-06
2.7300417958126815	0.2754616594642416	0.010669927661749932	0.7138659500272136	4.5361976243217065e-08	1.0894584860021052e-09	6.260419436537107e-12	2.416382255552301e-06	-2.2857124286586894e-06
2.831154454916855	0.268765020359446	0.011416166858858734	0.7198158258545121	5.906553886710056e-08	1.3775089025201027e-09	7.907987932062766e-12	2.9264710607992615e-06	-2.263268590274101e-06
2.932267114021028	0.26199660312079137	0.012201180047214082	0.725798600043076	7.673968459604413e-08	1.7391994844762384e-09	9.977733842402864e-12	3.5382961629926387e-06	-2.2405612036773305e-06
3.0333797731252017	0.2551701721904293	0.013025849595069883	0.7317996056792815	9.948314012512955e-08	2.192681928278742e-09	1.2574802770787587e-11	4.27084389244228e-06	-2.2176345744988906e-06
3.134492432229375	0.24829929312370164	0.013890982938706926	0.7378044461068108	1.2868342041538983e-07	2.7604070756695956e-09	1.5829740648905264e-11	5.1463689223878506e-06	-2.194532407792938e-06
3.2356050913335483	0.24139728987539236	0.0147973038545616	0.7437990457885857	1.6608841577273958e-07	3.4700991358798813e-09	1.9904431004099826e-11	6.190901390279888e-06	-2.1712976738005408e-06
3.336717750437722	0.23447720428294222	0.01574544362131417	0.7497696989970454	2.1389455298397423e-07	4.355939988206103e-09	2.499937119399294e-11	7.434821969913467e-06	-2.147972480789874e-06
3.437830409541895	0.22755175790190646	0.016735932124753213	0.7557031161139872	2.748550641452738e-07	5.46000636563473e-09	3.136257790708841e-11	8.913511995868664e-06	-2.1245979554120657e-06
3.5389430686460686	0.22063331633017572	0.017769188962161335	0.7615864673349739	3.524125752178867e-07	6.8340108773749935e-09	3.930047246657323e-11	1.0668086112749298e-05	-2.1012141309428266e-06
3.6400557277502417	0.21373385613827195	0.018845514606637928	0.7674074235877215	4.508610173609672e-07	8.541407418596704e-09	4.91911686080732e-11	1.2746215238695022e-05	-2.0778598437095635e-06
3.741168386854415	0.20686493450355062	0.019965081695133006	0.7731541944888485	5.755427824539653e-07	1.0659932766013787e-08	6.150067164840367e-11	1.5203047869565237e-05	-2.0545726379319746e-06
3.8422810459585888	0.20003766162654532	0.021127926506958394	0.7788155631787412	7.330881057153929e-07	1.3284669325795608e-08	7.680260092548679e-11	1.810223789334267e-05	-2.0313886791316106e-06
3.943393705062762	0.1932626759881381	0.022333940702115317	0.784380917890025	9.317048796572544e-07	1.6531729377350814e-08	9.580217012168113e-11	2.1517087099803828e-05	-2.008342676193107e-06
4.044506364166935	0.1865501224868877	0.02358286339087901	0.7898402801210949	1.1815285022162086e-06	2.0542679072090072e-08	1.193653061544807e-10	2.5531810435870137e-05	-1.9854678120872025e-06
4.1456190232711085	0.17990963347683747	0.02487427360766159	0.7951843293023005	1.4950429556554235e-06	2.5489841270708363e-08	1.4855396089960778e-10	3.024293173421364e-05	-1.9627956831936967e-06
4.246731682375282	0.17335031270760176	0.026207583263187898	0.8004044238585898	1.8875861197043698e-06	3.158264045092924e-08	1.8466887596237958e-10	3.576081710642776e-05	-1.9403562470916344e-06
4.347844341479456	0.16688072215061994	0.027582030649421472	0.8054926185886595	2.377954359987265e-06	3.907518085349733e-08	2.2930130468844283e-10	4.22113523942959e-05	-1.91817777861462e-06
4.448957000583629	0.1605088716782906	0.028996674571431683	0.8104416782968534	2.9891237177119514e-06	4.827528127297891e-08	2.8439548417110264e-10	4.973776998375965e-05	-1.8962868339016358e-06
4.550069659687803	0.15424221154637008	0.030450389179464334	0.8152450876301472	3.749107573804025e-06	5.955522701262238e-08	3.5232399078021875e-10	5.850262885970651e-05	-1.8747082221084073e-06
4.651182318791975	0.14808762761463246	0.03194185957283916	0.8198970570885243	4.691973482603947e-06	7.336454213891153e-08	4.3597851451071634e-10	6.86899499760081e-05	-1.85346498438159e-06
4.752294977896149	0.1420514392264284	0.033469578244928265	0.8243925251928446	5.859044975796748e-06	9.024513398299224e-08	5.3887906039157e-10	8.050750679188064e-05	-1.8325783796380772e-06
4.8534076370003225	0.1361393996545332	0.035031842435354545	0.8287271568099023	7.300317530622892e-06	1.1084921759847134e-07	6.653051410196988e-10	9.418926814332862e-05	-1.8120678766348765e-06
4.954520296104496	0.13035669900858177	0.036626752451684376	0.832897337649767	9.076121575824277e-06	1.3596049141973523e-07	8.204531764549213e-10	0.00010999798743677927	-1.7919511517615213e-06
5.05563295520867	0.1247079694885235	0.03825221101827317	0.8369001649656584	1.1259069364902557e-05	1.6651910756020194e-07	1.010625081685413e-09	0.00012822792844029135	-1.7722440919370718e-06
5.156745614312842	0.11919729285890776	0.03990592370456973	0.8407334345015673	1.3936326760674206e-05	2.036510620008742e-07	1.2434539153457915e-09	0.00014920771367347895	-1.7529608019477636e-06
5.257858273417016	0.11382821001047057	0.041585400479112036	0.8443956237475532	1.721225541843051e-05	2.487027223663657e-07	1.5281735065662968e-09	0.0001733032765461752	-1.7341136155193665e-06
5.358970932521189	0.10860373246844032	0.043287958428682785	0.8478858715771813	2.1211475485072645e-05	3.032813151505604e-07	1.8759401928123114e-09	0.00020092089295237084	-1.7157131093807635e-06
5.460083591625363	0.1035263557012139	0.04501072567467529	0.851203954355894	2.6082403691382597e-05	3.693023112766544e-07	2.3002162165806565e-09	0.00023251026199599156	-1.6977681195422164e-06
5.5611962507295365	0.09859807407856955	0.04675064651069326	0.8543502586232715	3.200132653026226e-05	4.490447799459669e-07	2.8172259726415515e-09	0.0002685675989281203	-1.6802857589837388e-06
5.66230890983371	0.09382039732535172	0.048504487776829905	0.8573257504661539	3.9177072992567944e-05	5.4521592707619e-07	3.4464982039003645e-09	0.00030963869624559784	-1.663271435926145e-06
5.763421568937883	0.08919436831455624	0.05026884647700284	0.8601319417134762	4.785635596047988e-05	6.610261975097143e-07	4.211509451035652e-09	0.00035632190129650617	-1.6467288718401373e-06
5.864534228042056	0.08472058204292128	0.052040158636235886	0.8627708530974507	5.83298556998967e-05	8.00276500854878e-07	5.140446611848027e-09	0.00040927095074408534	-1.6306601183376604e-06
5.96564688714623	0.08039920563244242	0.053814709384953203	0.8652449745394285	7.093912278760531e-05	9.674593205676854e-07	6.267109409089611e-09	0.00046919759395781455	-1.6150655720852181e-06
6.066759546250403	0.0762299992026157	0.0555886442472754	0.8675572227323972	8.608438106996462e-05	1.1678756859166161e-06	7.63197695469357e-09	0.0005368739289784783	-1.5999439868814081e-06
6.167872205354577	0.07221233746061727	0.05735798160006811	0.8697108962056574	0.00010423331366530329	1.4077702279658172e-06	9.283466494514804e-09	0.0006131343662971216	-1.5852924820513881e-06
6.26898486445875	0.06834523185997422	0.05911862625919264	0.8717096280707478	0.00012593091635360314	1.694486804735654e-06	1.1279416888703e-08	0.0006988771275098003	-1.5711065463299275e-06
6.370097523562923	0.06462735318249717	0.06086638413914507	0.8735573366611836	0.00015181050267984412	2.0366474681945435e-06	1.3688834504119812e-08	0.0007950651781912918	-1.5573800364330199e-06
6.471210182667097	0.06105705440325734	0.06259697792214766	0.8752581742920068	0.00018260594344281548	2.444357857465667e-06	1.6593945050547924e-08	0.0009027264873424112	-1.5441051695566431e-06
6.57232284177127	0.05763239370411091	0.06430606366288436	0.8768164743785138	0.00021916521963855813	2.929442439133447e-06	2.0092601574563126e-08	0.0010229534998110674	-1.5312725090910204e-06
6.673435500875444	0.054351157507626036	0.06598924824555301	0.8782366971667858	0.0002624653620478239	3.505713377060047e-06	2.4301106436206147e-08	0.0011569017035031929	-1.5188709429007944e-06
6.7745481599796165	0.051210883410165275	0.0676421076008497	0.8795233743417624	0.0003136288421576708	4.1892772005799806e-06	2.9357513746639387e-08	0.0013057871703496529	-1.5068876535968223e-06
