# -----------------------------------
# SAS_MoCa Version 1.4.0
# Fri Apr 24 10:55:44 2026
# -----------------------------------
datafile:	./POPC_50C_Symmetry2021.dat
save-folder:	RES_POPC-Symmetry2021
qrange:	[0.005, 0.6]
model:	LUV_POPC
temperature-init:	400
temperature-gain:	50
target-X2:	0.005
data-binning:	1
error-scale:	1
iterations:	100
processes:	64
plot-only:	False
state:	0
# -----------------------------------
# Collection of the result parameters (medians only) for each iteration.
# -----------------------------------
	Norm	nv	Rv	Z	d_Chol	s_Chol	d_PCN	s_PCN	d_CG	s_CG	dD_C	r_D_C	s_CH2	d_CH	s_CH	s_CH3	r_PCN	r_CG	r12	r32	T	V_H	V_BW	Con	X2
0	1e-07	0.8797891703315743	438.7233802577343	7.25710103605091	2.731221316830264	2.9496478303084754	3.967083394352484	2.4806581934120655	0.8431315702448506	2.5849611423471415	28.8440890903828	0.07984148730194646	2.5654120006919157	9.0	3.05	3.4328828744497897	0.29309160178958077	0.43141197853384167	0.81	2.133261695940402	50.0	318.5755720521803	30.405966608647866	0.0005156200254139332	3.703124244506025
1	1e-07	1.0801261329215275	408.1648662383282	9.243032173441522	2.640996558982944	3.026417330871397	4.283775133292524	2.537840063636806	0.9803843448115704	2.5746554180356993	27.871251307375573	0.07994748411538313	2.4604456286116716	9.0	3.05	3.3369965813209763	0.2899282000831307	0.43651612431716386	0.81	2.022362322480854	50.0	313.7487241821655	30.412225588054355	0.0005373155424530309	3.728746091227252
2	1e-07	0.99446150502169	423.9203782518221	7.705785619919108	2.5588696060982903	2.9371984987385704	4.544941608623587	2.5687236211745894	0.8383003846177092	2.5872344816775388	27.470693463219842	0.07689339886828174	2.586209177684874	9.0	3.05	3.084243924408958	0.298888963037314	0.44453018620648443	0.81	2.0123767265126795	50.0	311.2553513422366	30.41029356174863	0.0005797994953637733	4.182958536466446
3	1e-07	0.87620595845961	479.22480414111766	11.951251004844982	2.4728459885417395	3.0218165284203233	4.081207405954267	2.549417545457096	0.7555279799543249	2.48122173387363	28.386893280416132	0.07761685210191063	2.669334294964486	9.0	3.05	3.364058905516315	0.28708001137730654	0.4569973504401456	0.81	2.0810639529327064	50.0	331.7336399608381	30.413339204018644	0.0005358807368583161	3.8690799500104807
4	1e-07	1.2055313536974628	398.02105165859825	15.120847476966103	2.786656647032796	3.0893574641434287	4.148720768095587	2.4479993426573214	0.7190967564373021	2.4893630325237566	28.15867990046991	0.07712148232029671	2.651088020545643	9.0	3.05	3.5477575440889244	0.3028157416022269	0.44759911412341385	0.81	1.9987983480685143	50.0	316.2822740484438	30.432661601458783	0.0005055965506748703	3.698971487112004
5	1e-07	0.7751038875365276	511.2356078460256	10.064602009500259	2.741534927468795	2.949174581469253	4.078649875396624	2.580410274598811	0.8885105297502439	2.4829795210561234	28.15534309662786	0.07408734693589734	2.5449693070148913	9.0	3.05	3.559228774730573	0.28854991536989966	0.45380997008335683	0.81	2.059084746964187	50.0	331.2809238250752	30.456008878265898	0.0005123847727820096	3.3977390678199546
6	1e-07	1.0803625198293298	429.5043434522685	9.692909716404282	2.6634957238864905	2.9688888349110174	4.015777270650723	2.5094703676516956	0.8178873150184007	2.497588005164423	28.49214318238265	0.07435940070605	2.539328014436621	9.0	3.05	3.6511131542643507	0.2902205339588843	0.4546207184322575	0.81	2.1439320171834138	50.0	334.7332956004434	30.455524323449552	0.0005558223801011129	3.8828866100707478
7	1e-07	0.8318700910712709	468.8874935856667	11.804385298723581	2.673006774267467	2.9664949833386647	4.1020582117116495	2.455134556153833	0.7698244831139305	2.4389533114181123	28.321622200134236	0.07793538527313855	2.5816383211449274	9.0	3.05	3.4462499502101203	0.27971328642631677	0.4536733712134087	0.81	2.0342418348180282	50.0	317.05145291416216	30.372803489414434	0.000491353583025487	3.4724384412285025
8	1e-07	0.7398776531573915	507.2061137285652	9.519593407283189	2.6883137163020336	3.0434278037464852	4.028361308476339	2.4512707904329	0.8007900005119204	2.4851107453126895	28.257762489158285	0.07884807565040723	2.5334193602645056	9.0	3.05	3.5158752206571715	0.2899679056702752	0.460429568226977	0.81	2.086444016093025	50.0	326.52258530300435	30.395834408269035	0.0005156354386357967	3.391400202646258
9	1e-07	1.1609355911451347	404.4362876017114	11.008141057667407	2.5645376319385274	3.0651303896377335	3.9117767678147635	2.560053595863887	0.7818013334007454	2.462390160709381	28.443172536690728	0.07963939252275898	2.5754854576792385	9.0	3.05	3.534483318809263	0.3047335658424942	0.44809435142384313	0.81	2.0304371747883896	50.0	322.2667232024072	30.41942475772166	0.0005160907522830746	3.4749264342519517
10	1e-07	1.3292728460458654	358.00424124806136	5.941392431151782	2.5525481111039894	3.0826569248826727	4.180924982048723	2.4833142429392683	0.7905979522187512	2.4042255506973906	28.187149816148445	0.07762301727152099	2.472555501647604	9.0	3.05	3.5375749571709973	0.2702766492366899	0.45912993159397636	0.81	2.1128804160147405	50.0	317.6005548406534	30.344218397843367	0.000507859499956335	3.5223006644913566
11	1e-07	0.928595016981419	442.45796937346904	9.671246213229226	2.521202758278769	2.867657319757417	3.8942842913726823	2.6083150253511853	0.857464679847912	2.339049304913819	28.668175279680664	0.07759372503858858	2.449681620512535	9.0	3.05	3.537437384159246	0.2797952345209835	0.4471851713937907	0.81	2.069199480989385	50.0	321.7991579173225	30.397766089238775	0.0005361118990008753	3.5540328847165656
12	1e-07	0.8007903490443244	466.2017278821896	8.09718272510096	2.700886934195634	2.9560138733572128	4.137782557053843	2.4394432942150623	0.8152249904750758	2.413252057964598	27.61286066860181	0.08293792511985826	2.50960115673712	9.0	3.05	3.528296166850812	0.29270022552849007	0.4695985361842092	0.81	2.0558174008223022	50.0	310.42113083538936	30.304712174063447	0.0004907691037135342	3.7067924052559835
13	1e-07	1.038727764924191	444.8288102228193	8.58759223174519	2.606441831316476	2.944452503167458	4.192579754080648	2.4859277324003917	0.9569055236494395	2.4789508555728346	28.01452342032463	0.07984289097680738	2.51743736857639	9.0	3.05	3.286166960323097	0.2920241864312675	0.4511016245006219	0.81	2.0584020798792855	50.0	336.0238212753014	30.45182306479777	0.0005152766702814873	4.172136163845208
14	1e-07	1.0949253771159995	405.3826355825477	9.211643765419163	2.691171660228916	3.1156136784615134	3.5027566136072417	2.447494757694083	0.8587467384884193	2.420516564472458	28.78610660106357	0.07941419747647396	2.556593313278612	9.0	3.05	3.2744611811135	0.28724472257067823	0.46571269125120046	0.81	2.0493152644143073	50.0	322.06677707452644	30.42321085789896	0.00042601325388914695	3.932932838299331
15	1e-07	0.8702688503470529	459.8306707588007	11.729054678329158	2.6918561670849273	2.9446342694391667	3.8038731280712694	2.573543931610571	0.8475804130298543	2.4222960907595046	28.869448492079666	0.07632312054280345	2.449550058045969	9.0	3.05	3.370412380583046	0.2797515022889777	0.44464066948836356	0.81	2.0378019504714198	50.0	321.90271757005496	30.443224064846973	0.00046244858548107705	3.610394055084479
16	1e-07	0.8427143579334031	477.18702007255814	7.321515249488828	2.772425842279502	2.8501891022895602	4.096162957130047	2.540769167900244	0.793448970210576	2.454069043727088	28.349797002711544	0.07435105004978931	2.517685693501219	9.0	3.05	3.5763584123001197	0.2880242501789351	0.45523358352763	0.81	2.1174750094053274	50.0	330.7302148337721	30.473025638119545	0.0005191292390435882	3.5650816282582563
17	1e-07	1.3031463365852682	408.09450709218277	9.27160583479781	2.6626792671410047	3.0581970914154293	4.722382385413632	2.6100061887645407	0.9210472541053285	2.5302126178170616	26.83330569272505	0.08290222347117701	2.61657645310524	9.0	3.05	3.374685986970437	0.2787627836633256	0.4664613193026072	0.81	2.0046098639135335	50.0	332.63978343365966	30.266330144183822	0.0005765309722953368	4.403208119216299
18	1e-07	1.123597639356349	405.38287984501864	12.767550014805348	2.640537314502973	3.0835329368933344	4.158383812242601	2.522156036048192	0.7625569377826869	2.430007645197298	28.021645613328076	0.07628335698959769	2.5555375459885736	9.0	3.05	3.3046386146013176	0.29138101236442215	0.46382711670705506	0.81	2.0868517424552473	50.0	318.03240291116595	30.378728984959483	0.0005124951655663049	4.097833647911854
19	1e-07	1.2564849993162366	379.17706794101355	12.713916217740497	2.8785465374257377	2.951589389458973	4.147563839403233	2.519246112651585	0.9383331475111161	2.4822475799359895	28.49285175167129	0.07620431049467032	2.6100345882496745	9.0	3.05	3.3029909720193578	0.278828508502711	0.4325751024277334	0.81	2.037157104089789	50.0	316.20594080527405	30.456239091608563	0.0005190965195698309	4.054794100275092
20	1e-07	0.8158453373540823	502.76795995142203	11.94935053268093	2.5487974080368865	2.974431895794275	4.437251075360164	2.553077053094133	0.6099161500835002	2.503405589277451	28.011116881781433	0.07520328365794506	2.6493119839909305	9.0	3.05	3.492924005836743	0.27886268647086027	0.4577150071755176	0.81	1.9775629991082637	50.0	327.3893540442627	30.40008397253499	0.0005344454441885893	3.36907284177877
21	1e-07	1.0713789596993446	423.9078819468807	7.552625663783519	2.7112421707938834	3.0488374044140514	4.507261870788173	2.4346047592951447	0.7335954166862865	2.450056985870851	27.730302089638023	0.0783464808547046	2.5568265024989323	9.0	3.05	3.5270692131906918	0.2816626418552382	0.4584472407878531	0.81	2.0461329701654107	50.0	325.511699809631	30.363671514888907	0.0005315363680907835	3.452118031364401
22	1e-07	0.5666764632777109	558.1395765814337	8.49369284769291	2.8071409632348114	3.008937437236883	4.684889504437348	2.3917192720992437	0.6805223551389791	2.3736141478584356	27.601957659951637	0.0838744409826834	2.518254471249718	9.0	3.05	3.355734980131266	0.2921225469454518	0.4468770323494354	0.81	2.0503320856864464	50.0	311.48697817468496	30.279704481041573	0.000491342663845486	4.871683508431717
