	Norm	nv	Rv	Z	d_Chol	s_Chol	d_PCN	s_PCN	d_CG	s_CG	dD_C	r_D_C	s_CH2	d_CH	s_CH	s_CH3	r_PCN	r_CG	r12	r32	T	V_H	V_BW	Con	X2
0	1e-07	0.8711012838262544	459.97736623436737	10.322129593217044	2.729684786566307	2.928777640455474	4.139992819627908	2.5276050532136365	0.8118216511325276	2.380671235998597	28.897904466684988	0.07888485920511747	2.5164021829035783	9.0	3.05	3.3135798629066553	0.2822412891075003	0.43703052883467064	0.81	2.1549169832032975	50.0	328.6445757939316	30.43890677832236	0.000537011014690046	4.251727837142935
1	1e-07	1.3303391589737366	377.38085001362765	6.751810661496572	2.7268490891634305	3.0288813724699133	3.719132860179357	2.498792793147652	0.877929627709887	2.4554388374613327	28.777439796964625	0.08104784014573965	2.4729621764719663	9.0	3.05	3.8164094091608765	0.2833556471281411	0.4487671451672502	0.81	2.0368696970830005	50.0	330.1345706735875	30.35126240515717	0.00041114319904670446	4.365167057694622
2	1e-07	0.8082035937475304	424.018463252457	8.703809213304671	2.643753889335748	2.9034285249522465	3.6415645655246967	2.4794055091665324	0.7890687759127577	2.3762555355242907	29.290594756934848	0.07891451966040905	2.557224464319121	9.0	3.05	3.228593038225496	0.2658724872402577	0.4439800350449629	0.81	2.1555978847814408	50.0	298.8028586209812	30.363508835981364	0.00047008601760237115	3.489836192903961
3	1e-07	1.1050207939975036	398.2714521848601	6.37423910315731	2.69630467155137	2.84625394715784	3.617853680597068	2.4497558898017897	0.7336455636667027	2.3256130389589535	28.948224648579625	0.07700148604171506	2.470234123280451	9.0	3.05	3.2451014266274543	0.2944337823517408	0.4568608627799159	0.81	2.011414797746021	50.0	322.43525641251813	30.46326042848373	0.00043688301329002137	3.488193530749527
4	1e-07	1.0701392671872374	399.7263045276191	5.798909030724575	2.8130190643027118	2.8801085508040094	3.8889978009495025	2.5629603076935683	0.8782863150552971	2.521894158488686	28.361318126294954	0.07941511711386001	2.521465842863772	9.0	3.05	3.602511598789381	0.27277683833039434	0.4638469833980631	0.81	2.164160081837929	50.0	321.0675895710841	30.31284165114282	0.0005135036363870474	3.2911296043651546
5	1e-07	0.943346805606134	439.4690066677003	7.965212410523281	2.885802516526079	3.0939905534465577	3.658166278420639	2.5648010770147867	0.9245985205259831	2.529026593715318	28.59978178800862	0.08150720687072079	2.4967437607713383	9.0	3.05	3.394497035468993	0.3060136956970764	0.4509546921990663	0.81	2.1100904868916293	50.0	326.4281496863676	30.35422288108528	0.00054458733073685	3.549823637541935
6	1e-07	0.9904592682083565	447.08709514291894	9.89926385355809	2.573499196357723	3.081525646224156	4.260436277099117	2.5082488591782828	0.868896526884403	2.4899868054539738	27.84703466138147	0.08480155835274374	2.574482360950637	9.0	3.05	3.3652017078030703	0.2835890395689765	0.4610829430068483	0.81	2.0789060514636604	50.0	329.78117104698333	30.27504315714024	0.0005015046998938922	4.3153775908690575
7	1e-07	0.5741915807066148	546.4902912160338	11.007307590267594	2.7299053401748057	2.8286331494833665	3.7700826292767906	2.498443233007751	0.7052981824039677	2.3703253952435874	28.97716888795059	0.07745055204370047	2.5735983870616934	9.0	3.05	3.521039424325016	0.2857589736967356	0.4493203459911306	0.81	2.0822097562327793	50.0	313.8830680261893	30.39820580152507	0.00047345740367091266	3.229716779667305
8	1e-07	0.7065697786753683	531.9243224739031	12.64002528000289	2.741307341439229	3.1342079343700924	3.5198968544290192	2.5443725195251847	0.9271498096791325	2.4618070158854644	28.896713326287433	0.07662000107357497	2.5094929521309313	9.0	3.05	3.3683478042115067	0.3019554115128562	0.44278194872162246	0.81	1.9603053835880606	50.0	329.8795911993639	30.434196647010666	0.0004456779866956967	3.881060200510792
9	1e-07	1.2108136967333403	405.64194964222423	6.229067212260449	2.688332099914288	2.9759923082733337	4.130485909728492	2.4058578395460324	0.9067255391059474	2.424958360551884	27.335456498740637	0.08248541912590732	2.497949918068238	9.0	3.05	3.9080695576146924	0.3027823431600018	0.47562882061060446	0.81	2.1022803849324108	50.0	331.54516487712215	30.33500166716521	0.0005193176873599454	3.0223452635805916
