# -----------------------------------
# SAS_MoCa Version 1.4.0
# Fri Apr 24 10:55:44 2026
# -----------------------------------
datafile:	./POPC_50C_Symmetry2021.dat
save-folder:	RES_POPC-Symmetry2021
qrange:	[0.005, 0.6]
model:	LUV_POPC
temperature-init:	400
temperature-gain:	50
target-X2:	0.005
data-binning:	1
error-scale:	1
iterations:	100
processes:	64
plot-only:	False
state:	0
# -----------------------------------
# Probabilities of finding a quasimolecular group at a position z (Angstrom) (distance from the bilayer center).
# SLD column: SLD contrast (difference from suspension medium) as a function of z; unit Angstrom^-2.
# -----------------------------------
z	CH3	CH	CH2	CG	PCN	Chol	BW	SLD
0.0	0.3988473665484861	0.001138634238300477	0.6000139728519941	3.684643399034929e-09	5.347228683644977e-14	5.175724207303864e-13	9.495395215526543e-09	-2.766144026955947e-06
0.10106986938388632	0.39867551346835717	0.0012549098288450005	0.6000695496700305	4.720588896267309e-09	7.273691192646206e-14	6.618060759925361e-13	1.1833616590689504e-08	-2.765447064554676e-06
0.20213973876777264	0.39816039838281847	0.0013815413949390205	0.6004580311448791	6.0376265655551125e-09	9.878011153297639e-14	8.4526418497127e-13	1.4722407493477493e-08	-2.763500156219847e-06
0.303209608151659	0.3973033518437642	0.0015192819657096875	0.6011773336045304	7.709135252523138e-09	1.339284114199313e-13	1.0783414008563454e-12	1.8285042096336122e-08	-2.7603076384003726e-06
0.4042794775355453	0.3961065850737127	0.0016689217032175422	0.6022244555089464	9.826852388134337e-09	1.8128608699844326e-13	1.3741121676627974e-12	2.267084788911094e-08	-2.755877013424492e-06
0.5053493469194316	0.3945731804601045	0.0018312879652754358	0.6035954868871065	1.2505254930543856e-08	2.449879843416078e-13	1.7490015132073293e-12	2.8060350304286773e-08	-2.750218915006024e-06
0.606419216303318	0.3927070783275149	0.0020072451605259237	0.6052856227012977	1.5886931271769283e-08	3.30532102523979e-13	2.2236185033860765e-12	3.46713520388691e-08	-2.7433470603952024e-06
0.7074890856872043	0.39051306006722963	0.0021976943763275403	0.607289180078402	2.0149154817421777e-08	4.4521630397559767e-13	2.8237904650272128e-12	4.276609995574045e-08	-2.735278189473227e-06
0.8085589550710905	0.38799672772527394	0.00240357275992574	0.609599619326279	2.551191156596247e-08	5.987107083409419e-13	3.5818446811338208e-12	5.265971309683162e-08	-2.726031991167841e-06
0.9096288244549768	0.3851644801708557	0.0026258526334816353	0.612209568632291	3.2247683130658154e-08	8.038065556460674e-13	4.538194718580941e-12	6.473006981183761e-08	-2.71563101764247e-06
