4.54444000e-03	1.05965000e+06	5.66220000e+03
5.06979000e-03	9.29190000e+05	3.22402000e+03
5.59514000e-03	7.30804000e+05	2.50290000e+03
6.12049000e-03	5.86362000e+05	2.11928000e+03
6.64584000e-03	4.89746000e+05	1.79084000e+03
7.17119000e-03	4.17467000e+05	1.64041000e+03
7.69654000e-03	3.53755000e+05	1.41187000e+03
8.22189000e-03	3.05881000e+05	1.28741000e+03
8.74724000e-03	2.67694000e+05	1.19388000e+03
9.27259000e-03	2.35998000e+05	1.04277000e+03
9.79794000e-03	2.07139000e+05	9.63626000e+02
1.03233000e-02	1.85574000e+05	8.47422000e+02
1.08486000e-02	1.64944000e+05	7.96629000e+02
1.13740000e-02	1.47466000e+05	7.13017000e+02
1.18993000e-02	1.33251000e+05	6.71196000e+02
1.24247000e-02	1.21061000e+05	6.14708000e+02
1.29500000e-02	1.10527000e+05	6.00833000e+02
1.34754000e-02	1.00340000e+05	5.95288000e+02
1.40007000e-02	9.32283000e+04	5.60189000e+02
1.45261000e-02	8.55240000e+04	5.41887000e+02
1.50515000e-02	7.89239000e+04	5.14118000e+02
1.55768000e-02	7.27735000e+04	4.87123000e+02
1.61022000e-02	6.78653000e+04	4.91234000e+02
1.66275000e-02	6.32692000e+04	4.37837000e+02
1.71529000e-02	5.89096000e+04	4.47579000e+02
1.76782000e-02	5.59013000e+04	4.19799000e+02
1.82036000e-02	5.26930000e+04	4.10754000e+02
1.87289000e-02	4.93455000e+04	3.95945000e+02
1.92543000e-02	4.68360000e+04	3.74797000e+02
1.97796000e-02	4.38018000e+04	3.73716000e+02
2.03050000e-02	4.24180000e+04	3.54441000e+02
2.08303000e-02	3.98386000e+04	3.53202000e+02
2.13557000e-02	3.81067000e+04	3.36094000e+02
2.18810000e-02	3.60060000e+04	3.32184000e+02
2.24064000e-02	3.48427000e+04	3.24625000e+02
2.29317000e-02	3.33850000e+04	3.12126000e+02
2.34571000e-02	3.14665000e+04	3.05477000e+02
2.39824000e-02	3.03505000e+04	2.94501000e+02
2.45078000e-02	2.89707000e+04	2.96218000e+02
2.50331000e-02	2.79811000e+04	2.89590000e+02
2.55585000e-02	2.68579000e+04	2.75056000e+02
2.60838000e-02	2.53741000e+04	2.78238000e+02
2.66092000e-02	2.42040000e+04	2.63117000e+02
2.71345000e-02	2.36361000e+04	2.67640000e+02
2.76599000e-02	2.34234000e+04	2.55004000e+02
2.81852000e-02	2.16269000e+04	2.49974000e+02
2.87106000e-02	2.07413000e+04	2.52964000e+02
2.92359000e-02	1.96261000e+04	2.42597000e+02
2.97613000e-02	1.91598000e+04	2.41993000e+02
3.02866000e-02	1.89308000e+04	2.34735000e+02
3.08120000e-02	1.76109000e+04	2.28492000e+02
3.13373000e-02	1.73890000e+04	2.29091000e+02
3.18627000e-02	1.59957000e+04	2.20172000e+02
3.23880000e-02	1.63233000e+04	2.22727000e+02
3.29134000e-02	1.52720000e+04	2.11408000e+02
3.34387000e-02	1.49451000e+04	2.11709000e+02
3.39641000e-02	1.42070000e+04	2.09418000e+02
3.44894000e-02	1.38268000e+04	2.03845000e+02
