# 0: q, 1: I_data, 2: I_err, 3: I_fit
5.217715243675200183e-03 8.733295309950190131e+05 3.020970886610589787e+03 8.770291554597389186e+05
5.463618587252700408e-03 7.804699502984200371e+05 2.683432447245249932e+03 7.909863036684499821e+05
5.721110998373800036e-03 6.961689891555709764e+05 2.410913715815760042e+03 7.122446230650134385e+05
5.990738652965199931e-03 6.220363962470530532e+05 2.214026762633409817e+03 6.405340593750162516e+05
6.273073467431900148e-03 5.583006993634649552e+05 2.023887377856010062e+03 5.755051128225164721e+05
6.568714311768600322e-03 5.039300211176599842e+05 1.839057685433929919e+03 5.167516385302155977e+05
6.878288279843399952e-03 4.577651696605989709e+05 1.724280192753690017e+03 4.638323133419309743e+05
7.202452019547899570e-03 4.136756879424360231e+05 1.626810262781960091e+03 4.162894906032432918e+05
7.541893125635500301e-03 3.725098523070489755e+05 1.479145143556200082e+03 3.736646778283661115e+05
7.897331598201799349e-03 3.354572994721360155e+05 1.364300717974309919e+03 3.355103863217363250e+05
8.269521369901500218e-03 3.024187384173779865e+05 1.278930011369770000e+03 3.013985333355613984e+05
8.659251905140899486e-03 2.740897387996279867e+05 1.209544845364370076e+03 2.709258731680308119e+05
9.067349874637099447e-03 2.483807753183589957e+05 1.101804615672549971e+03 2.437170779401752807e+05
9.494680908898300506e-03 2.237979018941720133e+05 1.009311995062629990e+03 2.194260994235392427e+05
9.942151434341300539e-03 2.012194028065130115e+05 9.317279767089289635e+02 1.977363600420723087e+05
1.041071059594400085e-02 1.821411414537900127e+05 8.389699794407340505e+02 1.783601912040341995e+05
1.090135227050889957e-02 1.631891385916350118e+05 7.882340193342349721e+02 1.610378020276736061e+05
1.141511717480940026e-02 1.463533393491040042e+05 7.097435155764250112e+02 1.455359493875170301e+05
1.195309507308900052e-02 1.320028805844009912e+05 6.654122617269620150e+02 1.316464035179554485e+05
1.251642708859809945e-02 1.192215689105420024e+05 6.122851685621579918e+02 1.191842616736436175e+05
1.310630812406870030e-02 1.074963360108729976e+05 5.991833453598010237e+02 1.079861471261766710e+05
1.372398939626369961e-02 9.697450750160129974e+04 5.786779881601729585e+02 9.790833091988075466e+04
1.437078108997560076e-02 8.780154754187479557e+04 5.472974428840250312e+02 8.882481934568009456e+04
1.504805513710349985e-02 7.896717453293380095e+04 5.143000715602850050e+02 8.062545424594645738e+04
1.575724812670499866e-02 7.108778341169850319e+04 4.885349190119609943e+02 7.321407280236884253e+04
1.649986435219440162e-02 6.438594509971320076e+04 4.508112255584920263e+02 6.650676797607421759e+04
1.727747900215010138e-02 5.819615813407920359e+04 4.409907557972010181e+02 6.043028155634917493e+04
1.809174150150140090e-02 5.337605219020410004e+04 4.126796949351360126e+02 5.492055076485982863e+04
1.894437901017929915e-02 4.831629448792350013e+04 3.872717032598549736e+02 4.992141838439022831e+04
1.983720008665499843e-02 4.365009272951429739e+04 3.716028639697850053e+02 4.538350676776546607e+04
2.077209852413420058e-02 4.012438885750649933e+04 3.533392770390209989e+02 4.126324856967926462e+04
2.175105736754689989e-02 3.652564684560099704e+04 3.331512105328220059e+02 3.752206184497055801e+04
2.277615311985119878e-02 3.381664037158359861e+04 3.158270859603650251e+02 3.412565411527895776e+04
