	Norm	nv	Rv	Z	x	d_Chol	s_Chol	d_PCN	s_PCN	d_CG	s_CG	dD_C	r_D_C	s_CH2	d_CH	s_CH	s_CH3	r_PCN	r_CG	r12	r32	T	V_H	V_BW	Con	X2
0	0.01	2.3831377407655436	382.8334077694052	5.1	0.44313097491445835	2.750668076264133	3.000440872805657	3.8947939959989157	2.417933936273633	0.7795237965952158	2.3883909844376485	27.973534810451117	0.15205685348512904	2.580109844435571	9.0	3.05	3.446897485546479	0.2920561906673268	0.454259548819018	0.81	2.0700520431814704	37.0	326.3828728195223	28.468630745406706	174.73131566629638	11.481314283077477
1	0.01	2.3064026946503007	381.0774331750853	5.1	0.46034743702991465	2.677650923962156	3.0059456872227344	3.9128324827104795	2.5785871529169	0.8452307749029722	2.3642564347367854	28.24792998363706	0.14363569368723064	2.5021855021400183	9.0	3.05	3.41768814615388	0.28765271856890823	0.45489365613073396	0.81	2.0932798927372835	37.0	324.97473960642816	28.578358360577305	180.62792382726832	12.885167871779203
2	0.01	2.2726114179097654	384.0007481403974	5.1	0.4585854913712678	2.7042115531176876	2.978652275371659	4.230270547813174	2.5920742106920267	0.8434456125925908	2.4383946279932163	28.16225793473565	0.150934793405321	2.5291578586519305	9.0	3.05	3.3964378112885347	0.28997320395824105	0.449181166614486	0.81	2.093001935160639	37.0	324.82080184159423	28.61211844350658	182.56496632136682	13.559943289936673
3	0.01	2.3193786237510983	392.58365099136415	5.1	0.45312316662287294	2.664404547870222	2.9665550785699772	4.408451966870771	2.1523879979754277	0.7579261422863378	1.840239932036449	27.12482901775442	0.1428102930625718	2.531478263709533	9.0	3.05	3.0813233495217047	0.2878659263619089	0.46358997958583	0.81	2.0692143034857198	37.0	330.6656668201954	28.553036446962995	180.54410988340268	11.810197700389809
4	0.01	2.6879206506975644	351.16072746115054	5.1	0.45362399869169323	2.592504722740495	2.951796703626445	4.3451934361490725	1.8317858546335324	0.7197347389496718	2.372916404453283	28.003508133206466	0.17331321191933724	2.5244367075183645	9.0	3.05	3.3744877415847174	0.2865829428672164	0.45504297901744933	0.81	2.0603994694355143	37.0	327.2837863789337	28.609992807816422	182.49289559912717	14.953609241197032
5	0.01	2.408677678957054	391.22324458368143	5.1	0.44221819196078344	2.6620067106466623	2.9748003808424337	4.204582486728249	2.2170408389638268	0.8121245251417746	2.5000091544461003	26.984974853217384	0.14307727530702316	2.5001580703988053	9.0	3.05	3.3435346689026613	0.28783981934102965	0.45352062183372843	0.81	2.075323654663943	37.0	320.9226449339673	28.52015254065432	181.30679890862805	10.9955257654804
6	0.01	2.3612642281086997	382.6487477113866	5.1	0.4609580150214803	2.706047934399762	2.97849978992245	4.1370860460408405	2.2611690269720786	0.768929573632621	2.4705954947866218	27.428503479333553	0.15435554881658317	2.507097816304297	9.0	3.05	3.510164682642137	0.2883058756342419	0.4584780943177222	0.81	2.052678626856344	37.0	317.79105759892894	28.606549958114307	176.7995307974994	12.017876234971963
7	0.01	2.6380820288659477	363.1673782719248	5.1	0.4654875683453432	2.6483507565956965	2.9688602325067	4.159810622582317	2.1454020449977294	0.8664326731105818	1.770159693695828	27.322294012448925	0.15121955286563357	2.4744027476569053	9.0	3.05	3.5277193213895326	0.289531476791732	0.4497032057531873	0.81	2.088184265123368	37.0	316.6356079937032	28.776749023161834	176.1027313641041	13.032253319962235
8	0.01	2.682971551781848	358.18715125823445	5.1	0.4634664831773896	2.7570879934838137	2.9511021583231614	3.833414219308749	2.0474400034166904	0.8086068555566593	2.062344348961832	27.62151409906643	0.14805215794886686	2.516945391902594	9.0	3.05	3.4806090198584005	0.295031362170327	0.44721140013859617	0.81	2.1103358110674226	37.0	317.2550941220597	28.734551741543076	174.88752163889941	12.537254788192103
9	0.01	2.387256251235129	389.8374664688089	5.1	0.43294283917587395	2.6893122460944223	2.993146658809808	4.27509412433428	2.455077784159711	0.7762643661458825	2.2267589395804355	27.730344694663632	0.14919270225653902	2.5520169429649027	9.0	3.05	3.3843362219836925	0.28499827663536326	0.4448657026655106	0.81	2.059186644987805	37.0	330.0354998608894	28.50682301324037	181.92168533907508	11.463885602255017
