name	value	free	prior	low_l	high_l	mean	stdev
Norm	0.01	False	-	0.0001	1.0	0.01	0.0
nv	2.3	True	-	0.8	4.8	2.3707072176570345	0.37355776393290935
Rv	390.0	True	-	290.0	490.0	382.21991730035074	25.230943187406368
Z	5.1	False	-	5.1	18.0	5.1	0.0
x	0.45	True	0.04	0.36000000000000004	0.54	0.4573589520466146	0.01962924610319364
d_Chol	2.7	True	0.02	2.43	2.9700000000000006	2.7066244755624855	0.06724097514347846
s_Chol	3.0	True	0.02	2.7	3.3000000000000003	2.998839557237041	0.08020998249248044
d_PCN	4.1	True	0.08	2.4599999999999995	5.739999999999999	4.17300600872867	0.32287900350372734
s_PCN	2.5	True	0.2	0.0	5.0	2.498127379339756	0.5985334909634034
d_CG	0.8	True	0.08	0.48	1.1199999999999999	0.7864333055342666	0.08830531254387478
s_CG	2.5	True	0.2	0.0	5.0	2.3691020138917183	0.5648750205717759
dD_C	28.2	True	0.03	23.97	32.43	27.819945004563184	0.6850216999540678
r_D_C	0.15	True	-	0.055	0.2	0.1432269545520585	0.022661455891412177
s_CH2	2.5	True	0.02	2.25	2.75	2.4874377335977025	0.05950713877502057
d_CH	9.0	False	-	8.0	10.0	9.0	0.0
s_CH	3.05	False	0.02	2.745	3.355	3.05	0.0
s_CH3	3.4	True	0.05	2.55	4.25	3.3814631744854995	0.19661630930835372
r_PCN	0.29	True	0.02	0.261	0.319	0.2876379154902159	0.006912286991494601
r_CG	0.45	True	0.02	0.405	0.49500000000000005	0.4485542661111231	0.010874311104862597
r12	0.81	False	-	0.73	0.89	0.8100000000000003	2.2473615295280866e-16
r32	2.09	True	0.02	1.881	2.299	2.0948088992744895	0.055698778219412964
T	37.0	False	-	32.0	52.0	37.0	0.0
V_H	324.0	True	0.02	291.6	356.40000000000003	323.344798845414	7.4088334556598765
V_BW	28.9	True	0.01	27.455	30.345	28.5512837382594	0.17914802449476072
Con	180.0	True	-	150.0	210.0	180.63897775008002	9.92725588313937
