# -----------------------------------
# SAS_MoCa Version 1.5.0
# Tue Apr 28 14:10:46 2026
# -----------------------------------
convergence:
thermo:	1
maxcount:	100000
conv_threshold:	4
neg_water_scale:	5
statistics:
scale_MAD_to_std:	False
hist_mincount:	10
# -----------------------------------
datafile:	./data_pLUVs_POPC_OmpLA_PL600.dat
save-folder:	RES_POPC-PLUV600_01
qrange:	[0.005, 0.6]
model:	pLUV_POPC_OmpLA_RecBuf
temperature-init:	400
temperature-gain:	50
target-X2:	2.0
data-binning:	1
error-scale:	1
iterations:	100
processes:	24
plot-only:	False
state:	monomer
# -----------------------------------
# Collection of the result parameters (medians only) for each iteration.
# -----------------------------------
	Norm	nv	Rv	Z	x_p	d_Chol	s_Chol	d_PCN	s_PCN	d_CG	s_CG	dD_C	r_D_C	s_CH2	d_CH	s_CH	s_CH3	r_PCN	r_CG	r12	r32	T	V_H	V_BW	Con	X2
0	0.01	2.749219762958602	363.41793313990235	5.1	0.43487941965830046	2.8333851397324548	3.0565099470772767	4.115281400235493	2.1426645784572425	0.787457682539454	2.282971808188484	27.52415392302139	0.12617851496053167	2.5225745755546125	9.0	3.05	3.623458313499481	0.28998730547672213	0.4523544190784438	0.81	2.0338675329467217	37.0	327.6437348295802	28.44860087563637	187.28616346352624	2.704386133778568
1	0.01	2.2061126642655737	387.5453489395844	5.1	0.4526215877250007	2.7371711482901966	3.000718191228615	4.180656336263204	2.116203869857025	0.7972049801721972	2.056153725458713	27.866907304450166	0.13089363483609925	2.490536144882791	9.0	3.05	3.602668584945727	0.29517808519352823	0.4420390463035885	0.81	2.073362012873594	37.0	321.80859195499096	28.312976338733325	177.61835973851242	2.869555914855876
2	0.01	2.6839062610070052	354.9984482139915	5.1	0.4703384638756831	2.671489787508124	3.026005784871498	4.5246624645384745	2.130718171053388	0.7588627594481133	2.321333068223868	27.092658031402358	0.14605726438541916	2.5351428941227407	9.0	3.05	3.4563497680045874	0.28696035625487526	0.4489196552178675	0.81	2.1389127277851094	37.0	315.6353684046228	28.661391533969585	166.8325071373402	3.2978943919601797
3	0.01	2.4360127152878994	387.35633595229535	5.1	0.44692394740494257	2.675797728251438	2.970370983955162	4.285206434800166	2.432626151842151	0.8574507578167683	2.471726942051463	27.28791632380057	0.1391284701175899	2.4127723109047516	9.0	3.05	3.542915317244166	0.29312187782758836	0.43817307875776346	0.81	2.0722838032606066	37.0	325.1549369760627	28.665230385046357	178.07869441385924	3.8404032975615583
4	0.01	2.501353181646849	376.24911749493896	5.1	0.4630135003864425	2.5579267353734214	2.9797665499487356	4.444361531528672	3.022179830016353	0.7124178237039609	2.472103936481711	26.883664104742994	0.13268359342821828	2.473554944625008	9.0	3.05	3.8326671819442386	0.2895562759488736	0.46384652407898935	0.81	2.16513763130747	37.0	315.98157897654505	28.611835168365527	179.51093215915424	3.507394398168128
5	0.01	2.400258941176164	396.49175069679734	5.1	0.42754456300381666	2.6727486856105975	2.928723320576538	4.136379856127665	3.464676983217049	0.8194095566592265	2.2427374489621545	27.196932712623447	0.1371126752259748	2.5013956265740567	9.0	3.05	3.566632921996306	0.28701122117122635	0.4483460215803945	0.81	2.0025210283895247	37.0	322.2346880958866	28.42693728767853	178.28134346771745	3.817996750539343
6	0.01	2.2446031993878472	388.9289711802365	5.1	0.46330872513002574	2.683025094197909	3.0685260987421046	4.106852049308881	2.5198896011415313	0.7388995466951997	1.6597830210843654	27.679660803015558	0.14026020844705822	2.5085403027315256	9.0	3.05	3.533737470866806	0.2893814229752812	0.45003491787240296	0.81	2.09822403790444	37.0	314.4952313476921	28.6612667264296	171.1904622302801	4.271243326446771
7	0.01	2.5617469312750822	367.3779042571607	5.1	0.44089633043329163	2.733241491658205	3.048555829983366	3.9231374379849266	2.3233142175045836	0.8386237933045341	1.8278610498745471	27.615947964642906	0.1518371052421494	2.4497968470177494	9.0	3.05	3.452327890018499	0.2962678540414978	0.4517671542464229	0.81	2.0727654277814134	37.0	319.7409254573708	28.391746833778935	176.46623837002562	3.266654220937854
8	0.01	2.1830888252521894	391.3290949873504	5.1	0.4472461563398998	2.815022034228482	2.9316332135960206	3.884244030814845	3.2640504855313206	0.851690875684684	2.072143234460943	27.903051045003984	0.15040073537067375	2.511686577732714	9.0	3.05	3.351565129006156	0.28628542052370787	0.4481918704591078	0.81	2.1563433576123114	37.0	318.4668046178552	28.2698425281514	184.79728911833885	3.6528274328883996
9	0.01	2.453391231141292	387.5059660522535	5.1	0.4285605260458304	2.7435389772825336	2.902104120028887	4.2348591177192505	2.9081268583204842	0.726511755978639	2.2172163043770396	27.061492152514276	0.14331983875852988	2.501583062420645	9.0	3.05	3.46716031399428	0.28038429194098585	0.4499534088267966	0.81	2.0405376568666234	37.0	319.64105541193845	28.357210588113375	180.8471200249202	3.306876393840465
10	0.01	2.695610777546744	367.16280223631804	5.1	0.42557659227256184	2.696990299802963	2.9939430630401715	3.5003059032713097	2.9254814006396637	0.8042368825324504	2.1207452058467795	28.44171092672699	0.12389351468447134	2.5056069368408362	9.0	3.05	3.3685712814219273	0.29379862200006474	0.4494719849261198	0.81	2.0818595824032933	37.0	329.75677304723024	28.363296783982683	175.9233258587377	3.282464620372428
11	0.01	2.4322004326091036	381.9526845868911	5.1	0.43527222496756013	2.6884989417255043	2.9727034703607655	4.267220976054926	2.2502191207308138	0.7317682153908593	2.4333406646415727	28.035230463986316	0.13843215279851975	2.530493693496012	9.0	3.05	3.391762735403724	0.2910010338433761	0.43911328966106195	0.81	2.033967586075617	37.0	328.64946449721083	28.5406529966208	180.6474519123516	3.5846933616688244
12	0.01	2.6045222376724215	386.9993822222893	5.1	0.40984920797113883	2.7031934907664503	3.0199576297290003	4.075346191359522	2.4388216963537603	0.841832230007239	1.7300601933465771	27.275113286498577	0.13892772344293083	2.3983731967210393	9.0	3.05	3.5344771639087598	0.2906071692484479	0.45443350795252413	0.81	2.0489754321270333	37.0	334.547405259666	28.338762758424373	187.74273557589422	3.260842704934376
13	0.01	2.409953741112784	391.5973687477371	5.1	0.4336535911158119	2.6791407076401863	2.8973925870774844	4.535626921341413	2.1470759478347166	0.8625912284288778	2.6352402796595173	27.262677695354	0.1394714059051697	2.5572948132858198	9.0	3.05	3.1607305625431295	0.29798079310367087	0.440992897573724	0.81	2.110951240528967	37.0	329.69276736853215	28.600519860221716	178.11071912651977	3.316501978031535
14	0.01	2.458640376115709	396.0667334711505	5.1	0.42282336163136536	2.605355515671621	2.8760496040147903	4.237312370223313	3.540894063315014	0.8355901246942347	2.088653086823741	26.508696268784117	0.15211333007608102	2.4041930000031595	9.0	3.05	3.0313193983901643	0.2955366397533823	0.46404321248605507	0.81	2.01647700649174	37.0	321.70323499472636	28.376232611110403	169.84518554655344	4.120488030893623
