# -----------------------------------
# SAS_MoCa Version 1.5.0
# Tue Apr 28 14:07:06 2026
# -----------------------------------
convergence:
thermo:	1
maxcount:	100000
conv_threshold:	4
neg_water_scale:	5
statistics:
scale_MAD_to_std:	False
hist_mincount:	10
# -----------------------------------
datafile:	./DMPC_50C_tmp_submission.dat
save-folder:	RES_DMPC-example
qrange:	[0.005, 0.6]
model:	LUV_DMPC
temperature-init:	40000
target-X2:	5
data-binning:	1
error-scale:	1
iterations:	100
processes:	24
plot-only:	False
state:	0
# -----------------------------------
# Probabilities of finding a quasimolecular group at a position z (Angstrom) (distance from the bilayer center).
# SLD column: SLD contrast (difference from suspension medium) as a function of z; unit Angstrom^-2.
# -----------------------------------
z	CH3	CH2	CG	PCN	Chol	BW	SLD
0.0	0.6906631794185705	0.30933584950306714	1.5323823225658905e-07	2.432681073585105e-09	2.933785292298411e-09	3.26934482571733e-07	-3.6993015945785035e-06
0.10049261550017903	0.689741620934692	0.31025738780859524	1.9241533258275597e-07	3.0168820400400265e-09	3.5835091527320517e-09	3.979916014115541e-07	-3.6962273864078543e-06
0.20098523100035806	0.6869843167881188	0.3130146307146524	2.411781538303621e-07	3.736595931916316e-09	4.372212215912019e-09	4.836008511259092e-07	-3.6870296538827565e-06
0.3014778465005371	0.6824132827128095	0.31758556035128405	3.0176023222192064e-07	4.6220921256535066e-09	5.328518437661323e-09	5.865410621275368e-07	-3.671781821142839e-06
0.4019704620007161	0.6760648861571088	0.32393380564444263	3.7688755091438825e-07	5.710126268068302e-09	6.486706328582412e-09	7.100782396860529e-07	-3.6506051805146665e-06
0.5024630775008951	0.6679893644796921	0.33200912402012916	4.698803977537886e-07	7.04526738264365e-09	7.887775197913947e-09	8.580420325956584e-07	-3.623667284785436e-06
0.6029556930010742	0.6582501629842291	0.34174806322714935	5.847747491027224e-07	8.681482659336896e-09	9.580702110202243e-09	1.0349124521962763e-06	-3.5911797383734213e-06
0.7034483085012532	0.6469231049930105	0.3530747910755061	7.264665850984717e-07	1.0684027023074375e-08	1.1623921638624717e-08	1.2459178852560043e-06	-3.5533954280720474e-06
0.8039409240014322	0.6340954091429469	0.36590207790346607	9.00883065164676e-07	1.3131692584115038e-08	1.4087065514341295e-08	1.497145492877001e-06	-3.5106052439917887e-06
0.9044335395016113	0.6198645717137243	0.3801324139591139	1.1151850825270601e-06	1.6119482326040768e-08	1.7053005001870794e-08	1.7956651181678797e-06	-3.4631343500809834e-06
1.0049261550017903	0.6043371340097726	0.39565924166944955	1.3780063786200082e-06	1.9761783055778174e-08	2.06202453662171e-08	2.149667848800663e-06	-3.4113380709804666e-06
1.1054187705019693	0.5876273565691512	0.41236828101770984	1.699735138330886e-06	2.419612491597983e-08	2.490572923766798e-08	2.5686203824626196e-06	-3.3555974678045592e-06
1.2059113860021484	0.5698558232304322	0.43013892499065365	2.0928448105652312e-06	2.958762885575117e-08	3.004811413421134e-08	3.063436325298283e-06	-3.296314679632056e-06
1.3064040015023275	0.5511479988338192	0.44884568131137004	2.5722818108542787e-06	3.613425960641499e-08	3.621159898935341e-08	3.646665509356121e-06	-3.2339081099709163e-06
1.4068966170025063	0.531632764559586	0.4683596364452606	3.1559187683793713e-06	4.407302017442478e-08	4.3590385385998005e-08	4.332702339426656e-06	-3.1688075382110002e-06
1.5073892325026854	0.5114409546237436	0.4885499181489005	3.865083082826473e-06	5.3687244929219166e-08	5.241387145800556e-08	5.138014069306161e-06	-3.1014492351280553e-06
1.6078818480028645	0.4907039172790571	0.5092851336021029	4.725171759879692e-06	6.531517234249208e-08	6.29526902454809e-08	6.0813897557275675e-06	-3.0322711589206447e-06
1.7083744635030436	0.46955212184268097	0.5304347613891431	5.766364799592397e-06	7.936000566826107e-08	7.552571984589068e-08	7.184210439228965e-06	-2.9617083041616706e-06
