# -----------------------------------
# SAS_MoCa Version 1.5.0
# Tue Apr 28 14:07:06 2026
# -----------------------------------
convergence:
thermo:	1
maxcount:	100000
conv_threshold:	4
neg_water_scale:	5
statistics:
scale_MAD_to_std:	False
hist_mincount:	10
# -----------------------------------
datafile:	./DMPC_50C_tmp_submission.dat
save-folder:	RES_DMPC-example
qrange:	[0.005, 0.6]
model:	LUV_DMPC
temperature-init:	40000
target-X2:	5
data-binning:	1
error-scale:	1
iterations:	100
processes:	24
plot-only:	False
state:	0
# -----------------------------------
q	I_data	I_err	I_fit
0.00528205225	0.38386034	0.00391921546	0.45660985290319445
0.00590202479	0.34148635	0.00227617529	0.37620761105965966
0.00652199734	0.3520778	0.00180043834	0.33631222208379624
0.00714196989	0.360346803	0.00149393774	0.3021761350372368
0.00776194243	0.338366284	0.00122682682	0.2658801610036665
0.00838191498	0.283787905	0.00105024989	0.2292618578310795
0.00900188753	0.221683124	0.000897547952	0.19546783348770175
0.00962186007	0.169791425	0.000777266842	0.16626071075269655
0.0102418326	0.134246769	0.000685188697	0.1419433825992372
0.0108618052	0.114299907	0.000613489903	0.12199098329436808
0.0114817777	0.104167328	0.000553137834	0.10560448108180276
0.0121017503	0.093935268	0.000508019281	0.09201579980454132
0.0127217228	0.082556748	0.000481387136	0.08060046087735094
0.0133416954	0.071909479	0.000429974033	0.07088810365518791
0.0139616679	0.060811796	0.000402573306	0.06253454668224138
0.0145816404	0.052264918	0.000371014651	0.05528765194469591
0.015201613	0.045427972	0.000344808471	0.04895911857201393
0.0158215855	0.040523512	0.000328466021	0.043404416546108354
0.0164415581	0.036352727	0.000309611646	0.03850948557832551
0.0170615306	0.032387847	0.000289620927	0.03418216756069273
0.0176815032	0.0288983406	0.000280487854	0.03034663740472547
0.0183014757	0.025079953	0.000266190728	0.026939690029536178
0.0189214483	0.0220239293	0.00024998188	0.02390813722523319
0.0195414208	0.0194009299	0.00024256025	0.02120690957535235
0.0201613934	0.0166640043	0.000233601836	0.018797601485204925
0.0207813659	0.0144719115	0.000223299064	0.016647333774641244
0.0214013385	0.0133247337	0.00021671964	0.01472783480024165
0.022021311	0.0112254752	0.000208536093	0.013014698545288713
0.0226412835	0.0093263334	0.000202077125	0.011486771703762593
0.0232612561	0.0082070651	0.000198037354	0.010125651233969094
0.0238812286	0.0070516607	0.000191087345	0.008915267991335062
0.0245012012	0.0062108928	0.000185747228	0.007841538850960407
0.0251211737	0.0049592015	0.000181727299	0.006892079476118718
0.0257411463	0.004722751	0.000176866085	0.006055961322705214
0.0263611188	0.0038842472	0.000173329278	0.005323510060139824
0.0269810914	0.0029724522	0.000170564001	0.004686133632733843
0.0276010639	0.0022307513	0.000166144832	0.004136178769897813
0.0282210365	0.0018879986	0.000161574731	0.0036668076104547686
0.028841009	0.0017830703	0.000161500554	0.003271894079780217
0.0294609816	0.0013020471	0.000158049542	0.0029459341395735522
0.0300809541	0.0010603039	0.000154388736	0.002683969890053055
0.0307009267	0.0011767239	0.000153522021	0.0024815234318413073
0.0313208992	0.0010225884	0.000150121644	0.002334540516096718
0.0319408717	0.0008733188	0.00014724131	0.0022393412359186468
