4.65926508e-03	1.08014050e-01	9.99437760e-03
5.27718027e-03	7.41251700e-02	5.84518858e-03
5.89509545e-03	6.59343200e-02	4.20839574e-03
6.51301063e-03	5.46075180e-02	3.11882321e-03
7.13092581e-03	4.45799410e-02	2.48766191e-03
7.74884099e-03	4.13382730e-02	2.09743883e-03
8.36675617e-03	3.55021040e-02	1.79729521e-03
8.98467136e-03	3.22345580e-02	1.57975677e-03
9.60258654e-03	2.88241290e-02	1.40850022e-03
1.02205017e-02	2.51055500e-02	1.26127097e-03
1.08384169e-02	2.20810560e-02	1.14822398e-03
1.14563321e-02	2.16358130e-02	1.05140325e-03
1.20742473e-02	1.93339660e-02	9.74836486e-04
1.26921624e-02	1.92108490e-02	9.19704493e-04
1.33100776e-02	1.93557490e-02	8.52142400e-04
1.39279928e-02	1.53007600e-02	7.99411188e-04
1.45459080e-02	1.51790240e-02	7.67939800e-04
1.51638232e-02	1.40157980e-02	7.28734631e-04
1.57817384e-02	1.32646280e-02	6.86765101e-04
1.63996535e-02	1.18823580e-02	6.60169688e-04
1.70175687e-02	1.20136340e-02	6.34414433e-04
1.76354839e-02	1.12737060e-02	6.10201153e-04
1.82533991e-02	1.07256563e-02	5.93958922e-04
1.88713143e-02	1.08489906e-02	5.71407463e-04
1.94892294e-02	1.07653154e-02	5.52233546e-04
2.01071446e-02	1.04919940e-02	5.40839764e-04
2.07250598e-02	9.76664280e-03	5.23334703e-04
2.13429750e-02	9.56898480e-03	5.07055535e-04
2.19608902e-02	1.00866533e-02	4.99539007e-04
2.25788054e-02	9.79917300e-03	4.86036760e-04
2.31967205e-02	8.71421860e-03	4.72217415e-04
2.38146357e-02	8.98319740e-03	4.66539145e-04
2.44325509e-02	9.23222320e-03	4.53558042e-04
2.50504661e-02	8.46500550e-03	4.45645524e-04
2.56683813e-02	9.05551350e-03	4.41799480e-04
2.62862964e-02	8.72769860e-03	4.30046220e-04
2.69042116e-02	9.13718450e-03	4.21652580e-04
2.75221268e-02	9.00673340e-03	4.15982301e-04
2.81400420e-02	8.99730290e-03	4.08464981e-04
2.87579572e-02	9.19967780e-03	4.02372668e-04
2.93758723e-02	9.07985340e-03	3.97328399e-04
2.99937875e-02	8.52711400e-03	3.89913989e-04
3.06117027e-02	9.97208360e-03	3.85781790e-04
3.12296179e-02	9.46933900e-03	3.82959439e-04
3.18475331e-02	9.27934860e-03	3.76738144e-04
3.24654483e-02	1.05944887e-02	3.72245518e-04
3.30833634e-02	9.39813230e-03	3.68131393e-04
3.37012786e-02	1.01768865e-02	3.67542322e-04
3.43191938e-02	1.00320155e-02	3.73889251e-04
3.49371090e-02	1.10014803e-02	3.75986610e-04
3.55550242e-02	1.09408056e-02	3.73816220e-04
3.61729393e-02	1.11609091e-02	3.74627726e-04
3.67908545e-02	1.12447124e-02	3.73974185e-04
3.74087697e-02	1.16722800e-02	3.72738796e-04
3.80266849e-02	1.12893800e-02	3.71958936e-04
3.86446001e-02	1.23618310e-02	3.69783048e-04
3.92625153e-02	1.19165092e-02	3.68799502e-04
3.98804304e-02	1.24843342e-02	3.67606090e-04
4.04983456e-02	1.25322496e-02	3.66464985e-04
4.11162608e-02	1.30657588e-02	3.63231728e-04
4.17341760e-02	1.32840358e-02	3.57075275e-04
4.23520912e-02	1.31265128e-02	3.49844271e-04
4.29700063e-02	1.36417762e-02	3.42358339e-04
4.35879215e-02	1.37705485e-02	3.38851009e-04
4.42058367e-02	1.42505936e-02	3.35579255e-04
4.48237519e-02	1.43922852e-02	3.30749341e-04
4.54416671e-02	1.47260629e-02	3.28266731e-04
4.60595823e-02	1.46401974e-02	3.25260661e-04
4.66774974e-02	1.53849079e-02	3.20762225e-04
4.72954126e-02	1.52105586e-02	3.19125675e-04
4.79133278e-02	1.63327504e-02	3.17208306e-04
4.85312430e-02	1.62903703e-02	3.13763833e-04
4.91491582e-02	1.66133180e-02	3.11902332e-04
4.97670733e-02	1.73857237e-02	3.09178171e-04
5.03849885e-02	1.77067693e-02	3.06449706e-04
5.10029037e-02	1.75712469e-02	3.05330200e-04
5.16208189e-02	1.82840204e-02	3.03744181e-04
5.22387341e-02	1.83211046e-02	3.00915347e-04
5.28566493e-02	1.84005203e-02	2.99715733e-04
5.34745644e-02	1.91411493e-02	2.98393272e-04
5.47103948e-02	1.93321153e-02	2.95478571e-04
5.59462252e-02	2.02758963e-02	2.92578145e-04
5.71820555e-02	2.04974562e-02	3.00827365e-04
5.84178859e-02	2.09465967e-02	3.02915042e-04
5.96537162e-02	2.18574469e-02	3.04903616e-04
6.08895466e-02	2.22633387e-02	3.06833138e-04
6.21253770e-02	2.29399704e-02	3.05585765e-04
6.33612073e-02	2.35896709e-02	3.05770712e-04
6.45970377e-02	2.35083083e-02	2.98443807e-04
6.58328681e-02	2.38701608e-02	2.91264145e-04
6.70686984e-02	2.48249420e-02	2.86032886e-04
6.83045288e-02	2.53194933e-02	2.82895961e-04
6.95403592e-02	2.54104504e-02	2.80157235e-04
7.07761895e-02	2.64152006e-02	2.77194007e-04
7.20120199e-02	2.63289078e-02	2.73525337e-04
7.32478502e-02	2.67068660e-02	2.71816504e-04
7.44836806e-02	2.72316424e-02	2.69685168e-04
7.57195110e-02	2.79879396e-02	2.66736234e-04
7.69553413e-02	2.80890197e-02	2.65749905e-04
7.81911717e-02	2.83959273e-02	2.63569040e-04
7.94270021e-02	2.89612592e-02	2.66742647e-04
8.06628324e-02	2.92332713e-02	2.71751518e-04
8.18986628e-02	2.95727807e-02	1.26203021e-04
8.31344932e-02	2.99468525e-02	1.23833858e-04
8.43703235e-02	3.03307650e-02	1.22096104e-04
8.56061539e-02	3.07859410e-02	1.21174878e-04
8.68419842e-02	3.10712485e-02	1.19680157e-04
8.80778146e-02	3.14646630e-02	1.18163737e-04
8.93136450e-02	3.17781276e-02	1.17621407e-04
9.05494753e-02	3.21163196e-02	1.17081423e-04
9.17853057e-02	3.24489515e-02	1.16213022e-04
9.30211361e-02	3.26469128e-02	1.15788994e-04
9.42569664e-02	3.31954140e-02	1.15136201e-04
9.54927968e-02	3.33959262e-02	1.14095095e-04
9.67286271e-02	3.35504805e-02	1.13883784e-04
9.79644575e-02	3.41676677e-02	1.13054431e-04
9.92002879e-02	3.40428636e-02	1.11548370e-04
1.00436118e-01	3.40672128e-02	1.10669672e-04
1.01671949e-01	3.40499405e-02	1.10351818e-04
1.02907779e-01	3.45071189e-02	1.09823515e-04
1.04143609e-01	3.46361119e-02	1.09298256e-04
1.05379440e-01	3.46573977e-02	1.08918524e-04
1.06615270e-01	3.46074894e-02	1.07969359e-04
1.07851100e-01	3.44771641e-02	1.07296861e-04
1.09704846e-01	3.47018416e-02	7.82198265e-05
1.11558592e-01	3.47988654e-02	7.76128259e-05
1.13412337e-01	3.47263493e-02	7.79273066e-05
1.15266083e-01	3.46675773e-02	7.84819452e-05
1.17119828e-01	3.46511590e-02	7.87599549e-05
1.18973574e-01	3.46051187e-02	7.89896077e-05
1.20827319e-01	3.43701637e-02	7.89365883e-05
1.22681065e-01	3.41734473e-02	7.88770972e-05
1.24534810e-01	3.39575658e-02	7.87583158e-05
1.26388556e-01	3.36181052e-02	7.86733181e-05
1.28242301e-01	3.33067266e-02	7.85803606e-05
1.30096047e-01	3.30136534e-02	7.85728721e-05
